model_spec,n_models,n_items,target_corr,true_effect,rho_model,slope_sd_dgp,rep,seed,generator_realized_corr,generator_gamma_x,generator_near_separation,generator_p_min,generator_p_max,generator_rho_model_realized,converged,singular,warnings,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,theta,theta_lower,singular_component,fit_error
M1,8,100,0.6,0.1,0.3,0.02,1,92625000,0.6014198187760317,1.7468542329316479,False,0.11473313866652694,0.8736306236602577,-0.05909670967612675,True,True,boundary (singular) fit: see help('isSingular'),0.1625,0.1938,0.4017,-0.2173,0.5423,False,0.0625,True,0.0058,0.1419,-1,0.0,2.2108e-10,"[0, 0.0058, -0.1419, 0.0004]","[0, 0, ""-Inf"", 0]",model_corr_boundary,
M2,8,100,0.6,0.1,0.3,0.02,1,92625000,0.6014198187760317,1.7468542329316479,False,0.11473313866652694,0.8736306236602577,-0.05909670967612675,True,True,boundary (singular) fit: see help('isSingular'),0.1629,0.1932,0.3992,-0.2158,0.5416,False,0.0629,True,0.0,NA,NA,0.0,0.0,"[0, 0, 0.1358]","[0, 0, 0]",model_intercept_sd_zero,
M1,8,100,0.6,0.1,0.3,0.02,2,92625001,0.6024130523763804,2.1208762185346717,True,0.04633488058255648,0.8934074527412483,0.7590985845248794,True,True,boundary (singular) fit: see help('isSingular'),0.3382,0.189,0.0735,-0.0322,0.7086,False,0.2382,True,0.0,3.5915e-09,NaN,0.2494,0.0,"[0.2494, 0, -3.5915e-09, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,
M2,8,100,0.6,0.1,0.3,0.02,2,92625001,0.6024130523763804,2.1208762185346717,True,0.04633488058255648,0.8934074527412483,0.7590985845248794,True,True,boundary (singular) fit: see help('isSingular'),0.3382,0.189,0.0735,-0.0322,0.7086,False,0.2382,True,0.0,NA,NA,0.2494,0.0,"[0.2494, 0, 0]","[0, 0, 0]",model_intercept_sd_zero,
M1,8,100,0.6,0.1,0.3,0.02,3,92625002,0.5872275339752678,2.7891448589899217,True,0.03804450673147189,0.8575284433804428,0.8519176193588675,True,True,boundary (singular) fit: see help('isSingular'),0.2889,0.1828,0.1139,-0.0693,0.6471,False,0.1889,True,0.0,1.0941e-07,NaN,1.8401e-07,0.0,"[1.8401e-07, 0, -1.0941e-07, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,
M2,8,100,0.6,0.1,0.3,0.02,3,92625002,0.5872275339752678,2.7891448589899217,True,0.03804450673147189,0.8575284433804428,0.8519176193588675,True,True,boundary (singular) fit: see help('isSingular'),0.2889,0.1828,0.1139,-0.0693,0.6471,False,0.1889,True,0.0,NA,NA,0.0,0.0,"[0, 0, 0]","[0, 0, 0]",model_intercept_sd_zero,
M1,8,100,0.6,0.1,0.3,0.02,4,92625003,0.6404282829415796,2.3770354188604412,True,0.03835114833167122,0.8887185892190343,-0.07145508670701482,True,True,boundary (singular) fit: see help('isSingular'),-0.0099,0.2426,0.9673,-0.4854,0.4655,False,-0.1099,True,0.314,0.3513,-1,0.1507,-6.9389e-18,"[0.1507, 0.314, -0.3513, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,
M2,8,100,0.6,0.1,0.3,0.02,4,92625003,0.6404282829415796,2.3770354188604412,True,0.03835114833167122,0.8887185892190343,-0.07145508670701482,True,True,boundary (singular) fit: see help('isSingular'),0.0974,0.194,0.6156,-0.2828,0.4776,False,-0.0026,True,8.0991e-08,NA,NA,0.1461,6.5595e-15,"[0.1461, 8.0991e-08, 0]","[0, 0, 0]",model_intercept_sd_zero,
M1,8,100,0.6,0.1,0.3,0.02,5,92625004,0.6006020688659446,1.4357017651750887,False,0.08752903696029699,0.8371222221202737,-0.34855166995002823,True,True,boundary (singular) fit: see help('isSingular'),0.2947,0.1967,0.1341,-0.0909,0.6803,False,0.1947,True,0.0,0.1936,NaN,0.1468,0.0,"[0.1468, 0, -0.1926, 0.0199]","[0, 0, ""-Inf"", 0]",model_intercept_sd_zero,
M2,8,100,0.6,0.1,0.3,0.02,5,92625004,0.6006020688659446,1.4357017651750887,False,0.08752903696029699,0.8371222221202737,-0.34855166995002823,True,True,boundary (singular) fit: see help('isSingular'),0.2947,0.1967,0.1341,-0.0909,0.6803,False,0.1947,True,0.0,NA,NA,0.1468,0.0,"[0.1468, 0, 0.1936]","[0, 0, 0]",model_intercept_sd_zero,
