condition,rep,seed,model_spec,n_models,n_items,target_corr,true_effect,rho_model_true,slope_sd_true,tau_model_true,tau_item_true,fit_error,generated_rows,p_min,p_max,pct_below_low,pct_above_high,near_separation,realized_corr,gamma_x,rho_model_target,rho_model_realized,converged,singular,warnings,r_stderr,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,theta,theta_lower,singular_component_reported,singular_component_reclassified
baseline,1,92618001,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.07577368126714328,0.9164608310228767,0.0,0.0,False,0.6165604013770526,1.6988587007733469,0.3,0.3396877936432861,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.0653,0.108,0.5453,-0.1463,0.2769,False,-0.0347,True,0.0,7.4484e-07,,0.0965,0.0,"[0.0965, 0, 7.4484e-07, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
baseline,2,92618002,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.08025005175675692,0.9861199015086989,0.0,0.08333333333333333,False,0.5800562846438931,2.8449215926095697,0.3,0.6089358831048195,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1402,0.1127,0.2136,-0.0807,0.3611,False,0.0402,True,0.1847,0.181,0.0195,0.0,0.0325,"[0, 0.1847, 0.0035, 0.181]","[0, 0, ""-Inf"", 0]",item_intercept_sd_zero,item_intercept_sd_zero
baseline,3,92618003,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.03566922729288738,0.9630217416433077,0.041666666666666664,0.125,True,0.61603409596784,2.255865120296366,0.3,0.11335659264888572,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.2154,0.1077,0.0455,0.0043,0.4265,True,0.1154,True,0.0,1.5433e-07,,0.0,0.0,"[0, 0, -1.5433e-07, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
baseline,4,92618004,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.07858993393115915,0.9132660064440902,0.0,0.0,False,0.5833610740896353,1.9072606900774098,0.3,0.23937905596618153,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1027,0.1055,0.3308,-0.1042,0.3095,False,0.0027,True,0.0001,0.0001,-1.0,0.0,-4.1359e-25,"[0, 0.0001, -0.0001, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_corr_boundary
baseline,5,92618005,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.0668271527679613,0.9076685899061535,0.0,0.0,False,0.6275738925901045,1.7208554484115186,0.3,0.3717041258723253,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.0564,0.1104,0.6092,-0.2728,0.1599,False,-0.1564,True,0.0,5.946e-08,,0.0,0.0,"[0, 0, -5.946e-08, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
baseline,6,92618006,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.057226954503752085,0.9364255681352888,0.0,0.0,False,0.6218116821447701,2.1288970535414293,0.3,0.1621648583650593,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.0576,0.1092,0.598,-0.2717,0.1565,False,-0.1576,True,0.0,2.7521e-09,,0.0,0.0,"[0, 0, 2.7521e-09, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
baseline,7,92618007,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.05370776503767743,0.9955698500544518,0.0,0.125,True,0.5983953420930024,2.9166636949143703,0.3,0.5279797848492748,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.0371,0.1234,0.7637,-0.2049,0.2791,False,-0.0629,True,0.0623,0.2469,1.0,0.0,4.3368e-19,"[0, 0.0623, 0.2469, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
baseline,8,92618008,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.038020195581214035,0.9642556849810356,0.041666666666666664,0.041666666666666664,False,0.6066298639499338,2.267131420969458,0.3,0.29589019059848987,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.2077,0.1119,0.0635,-0.0117,0.4271,False,0.1077,True,0.1682,0.131,-1.0,0.0,0.0,"[0, 0.1682, -0.131, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
baseline,9,92618009,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.029788291009947673,0.8859796259121433,0.041666666666666664,0.0,False,0.608432674662494,1.913968643239471,0.3,0.6590203448669483,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.0501,0.1107,0.651,-0.1669,0.267,False,-0.0499,True,0.0141,0.1341,1.0,0.0,2.7105e-20,"[0, 0.0141, 0.1341, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
baseline,10,92618010,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.08545014382671952,0.9365456174473041,0.0,0.0,False,0.5907656772937963,1.7258351130382688,0.3,0.5306055912599372,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.2133,0.1075,0.0472,-0.4239,-0.0027,True,-0.3133,False,0.0,0.0454,,0.0,0.0,"[0, 0, -0.0454, 0.0005]","[0, 0, ""-Inf"", 0]",model_intercept_sd_zero,model_intercept_sd_zero
baseline,11,92618011,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.04399163575713593,0.9653004494720042,0.041666666666666664,0.08333333333333333,False,0.595824329101402,2.71282798757689,0.3,0.37172373828403427,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1719,0.1063,0.1057,-0.0364,0.3802,False,0.0719,True,0.0,2.3936e-09,,0.0,0.0,"[0, 0, 2.3936e-09, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
baseline,12,92618012,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.12190378945460294,0.9327872633169053,0.0,0.0,False,0.5941103461345316,1.6010964574461977,0.3,0.389193761898688,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.2852,0.1114,0.0105,0.0669,0.5036,True,0.1852,True,0.0882,0.1594,-1.0,0.0,0.0,"[0, 0.0882, -0.1594, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
baseline,13,92618013,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.07800222588337094,0.9075019315301361,0.0,0.0,False,0.5723763528451967,1.7414961833231206,0.3,0.5132860981450283,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.158,0.1043,0.1298,-0.0464,0.3623,False,0.058,True,0.0,1.3325e-07,,0.282,0.0,"[0.282, 0, 1.3325e-07, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
baseline,14,92618014,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.09635147985796941,0.9296304273928561,0.0,0.0,False,0.5825647646508332,1.6577972896422974,0.3,0.43579911191034526,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1923,0.121,0.1119,-0.0448,0.4294,False,0.0923,True,0.0,0.2823,,0.0,0.0,"[0, 0, 0.1254, 0.2529]","[0, 0, ""-Inf"", 0]",model_intercept_sd_zero,model_intercept_sd_zero
baseline,15,92618015,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.07604458332277073,0.9278806077823487,0.0,0.0,False,0.6043681529601704,1.7278764498210841,0.3,0.569015576320134,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.0447,0.1058,0.6723,-0.1626,0.252,False,-0.0553,True,0.0,6.7153e-08,,0.1233,0.0,"[0.1233, 0, 6.7153e-08, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
baseline,16,92618016,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.09251418849460387,0.8625390824236006,0.0,0.0,False,0.5743029760657785,1.4694328712170546,0.3,0.2817081933837106,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.0409,0.104,0.6941,-0.2447,0.1629,False,-0.1409,True,0.0426,0.0128,1.0,0.0,5.421e-20,"[0, 0.0426, 0.0128, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
baseline,17,92618017,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.08298432511605953,0.9764652095059568,0.0,0.041666666666666664,False,0.5910210719383642,2.6690135033694733,0.3,0.2861803538648232,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.0258,0.1058,0.807,-0.2331,0.1814,False,-0.1258,True,3.6977e-07,4.438e-06,-0.9765,0.1366,6.3131e-15,"[0.1366, 3.6977e-07, -4.3337e-06, 9.5677e-07]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
baseline,18,92618018,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.04379530285155033,0.8718847124536764,0.08333333333333333,0.0,False,0.5850036278118009,1.734994793313912,0.3,0.3738787603920335,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1579,0.106,0.1364,-0.0499,0.3658,False,0.0579,True,0.0166,0.0688,1.0,0.0,0.0,"[0, 0.0166, 0.0688, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
baseline,19,92618019,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.0518551060816486,0.9516500548623464,0.0,0.041666666666666664,False,0.6049847548203261,2.2108448985107727,0.3,0.5075004359989612,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.0347,0.127,0.7848,-0.2836,0.2142,False,-0.1347,True,0.1809,0.308,-1.0,0.0,-3.4694e-18,"[0, 0.1809, -0.308, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
baseline,20,92618020,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.08155905124865677,0.9296545479535135,0.0,0.0,False,0.6107438547167136,1.7635374611011314,0.3,-5.611071056181695e-05,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.087,0.1072,0.4171,-0.1231,0.2971,False,-0.013,True,0.0,2.4093e-08,,0.0,0.0,"[0, 0, 2.4093e-08, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
baseline,21,92618021,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.07852417089573567,0.9332053055820464,0.0,0.0,False,0.5896871149087648,1.9089229719660101,0.3,0.3746320697098003,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.16,0.1055,0.1294,-0.0468,0.3669,False,0.06,True,0.0,1.713e-08,,0.0,0.0,"[0, 0, -1.713e-08, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
