rep,seed,singular_i__s0p02_m0p03_i0p03,singular_i__s0p02_m0p03_i0p15,singular_i__s0p02_m0p15_i0p03,singular_i__s0p02_m0p15_i0p15,singular_i__s0p1_m0p03_i0p03,singular_i__s0p1_m0p03_i0p15,singular_i__s0p1_m0p15_i0p03,singular_i__s0p1_m0p15_i0p15,slope_zero_i__s0p02_m0p03_i0p03,slope_zero_i__s0p02_m0p03_i0p15,slope_zero_i__s0p02_m0p15_i0p03,slope_zero_i__s0p02_m0p15_i0p15,slope_zero_i__s0p1_m0p03_i0p03,slope_zero_i__s0p1_m0p03_i0p15,slope_zero_i__s0p1_m0p15_i0p03,slope_zero_i__s0p1_m0p15_i0p15,model_zero_i__s0p02_m0p03_i0p03,model_zero_i__s0p02_m0p03_i0p15,model_zero_i__s0p02_m0p15_i0p03,model_zero_i__s0p02_m0p15_i0p15,model_zero_i__s0p1_m0p03_i0p03,model_zero_i__s0p1_m0p03_i0p15,model_zero_i__s0p1_m0p15_i0p03,model_zero_i__s0p1_m0p15_i0p15,item_zero_i__s0p02_m0p03_i0p03,item_zero_i__s0p02_m0p03_i0p15,item_zero_i__s0p02_m0p15_i0p03,item_zero_i__s0p02_m0p15_i0p15,item_zero_i__s0p1_m0p03_i0p03,item_zero_i__s0p1_m0p03_i0p15,item_zero_i__s0p1_m0p15_i0p03,item_zero_i__s0p1_m0p15_i0p15,corr_boundary_i__s0p02_m0p03_i0p03,corr_boundary_i__s0p02_m0p03_i0p15,corr_boundary_i__s0p02_m0p15_i0p03,corr_boundary_i__s0p02_m0p15_i0p15,corr_boundary_i__s0p1_m0p03_i0p03,corr_boundary_i__s0p1_m0p03_i0p15,corr_boundary_i__s0p1_m0p15_i0p03,corr_boundary_i__s0p1_m0p15_i0p15,estimate__s0p02_m0p03_i0p03,estimate__s0p02_m0p03_i0p15,estimate__s0p02_m0p15_i0p03,estimate__s0p02_m0p15_i0p15,estimate__s0p1_m0p03_i0p03,estimate__s0p1_m0p03_i0p15,estimate__s0p1_m0p15_i0p03,estimate__s0p1_m0p15_i0p15,bias__s0p02_m0p03_i0p03,bias__s0p02_m0p03_i0p15,bias__s0p02_m0p15_i0p03,bias__s0p02_m0p15_i0p15,bias__s0p1_m0p03_i0p03,bias__s0p1_m0p03_i0p15,bias__s0p1_m0p15_i0p03,bias__s0p1_m0p15_i0p15
1,92619001,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,1.0,,1.0,0.0263,0.0213,0.0596,0.0286,0.0312,0.0026,0.0593,0.0441,-0.0737,-0.0787,-0.0404,-0.0714,-0.0688,-0.0974,-0.0407,-0.0559
2,92619002,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.1269,-0.1381,-0.108,-0.1499,-0.0771,-0.1262,-0.0902,-0.1312,-0.2269,-0.2381,-0.208,-0.2499,-0.1771,-0.2262,-0.1902,-0.2312
3,92619003,1,1,1,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.1191,-0.0619,-0.1359,-0.091,-0.0959,-0.0519,-0.0699,-0.0784,-0.2191,-0.1619,-0.2359,-0.191,-0.1959,-0.1519,-0.1699,-0.1784
4,92619004,1,1,1,1,1,1,1,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,0.1869,0.1681,0.2028,0.2435,0.1444,0.1424,0.1787,0.267,0.0869,0.0681,0.1028,0.1435,0.0444,0.0424,0.0787,0.167
5,92619005,1,1,1,1,1,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,1.0,,1.0,0.0,0.0,0.1213,0.1416,0.1362,0.1518,0.1402,0.138,0.1356,0.1131,0.0213,0.0416,0.0362,0.0518,0.0402,0.038,0.0356,0.0131
6,92619006,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.1501,0.0952,0.1708,0.1767,0.1411,0.1165,0.1742,0.1813,0.0501,-0.0048,0.0708,0.0767,0.0411,0.0165,0.0742,0.0813
7,92619007,1,1,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,,0.0,1.0,1.0,0.0,0.0,-0.0107,0.0115,0.0395,0.0327,-0.0267,-0.017,0.0069,-0.0008,-0.1107,-0.0885,-0.0605,-0.0673,-0.1267,-0.117,-0.0931,-0.1008
8,92619008,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,,1.0,1.0,,0.2251,0.2034,0.2015,0.2225,0.1926,0.1609,0.1488,0.1773,0.1251,0.1034,0.1015,0.1225,0.0926,0.0609,0.0488,0.0773
9,92619009,1,1,1,1,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0632,0.1042,0.0859,0.0985,0.0987,0.1045,0.1272,0.1056,-0.0368,0.0042,-0.0141,-0.0015,-0.0013,0.0045,0.0272,0.0056
10,92619010,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,,1.0,0.181,0.164,0.1303,0.1307,0.1585,0.1486,0.1151,0.1376,0.081,0.064,0.0303,0.0307,0.0585,0.0486,0.0151,0.0376
11,92619011,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0211,0.0758,0.0335,0.0408,0.0139,0.0412,0.0234,0.0212,-0.0789,-0.0242,-0.0665,-0.0592,-0.0861,-0.0588,-0.0766,-0.0788
12,92619012,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0571,0.0476,0.0747,0.0555,0.0512,0.0435,0.0685,0.0212,-0.0429,-0.0524,-0.0253,-0.0445,-0.0488,-0.0565,-0.0315,-0.0788
13,92619013,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,1.0,,0.2026,0.2231,0.1734,0.1976,0.2175,0.1926,0.1815,0.1663,0.1026,0.1231,0.0734,0.0976,0.1175,0.0926,0.0815,0.0663
14,92619014,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,,,,0.1449,0.1558,0.1614,0.1391,0.1509,0.1726,0.1554,0.1802,0.0449,0.0558,0.0614,0.0391,0.0509,0.0726,0.0554,0.0802
15,92619015,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,1.0,0.0,0.0,-0.1836,-0.1809,-0.1717,-0.0987,-0.1938,-0.1987,-0.1474,-0.0911,-0.2836,-0.2809,-0.2717,-0.1987,-0.2938,-0.2987,-0.2474,-0.1911
16,92619016,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,1.0,1.0,1.0,0.104,0.1272,0.0614,0.1184,0.1,0.1358,0.0837,0.1225,0.004,0.0272,-0.0386,0.0184,3.8849e-06,0.0358,-0.0163,0.0225
17,92619017,1,1,1,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.1073,-0.1048,-0.1265,-0.0779,-0.1234,-0.1168,-0.1381,-0.0679,-0.2073,-0.2048,-0.2265,-0.1779,-0.2234,-0.2168,-0.2381,-0.1679
18,92619018,1,1,1,1,1,1,1,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,0.1754,0.1461,0.1704,0.1648,0.1975,0.1784,0.1805,0.1984,0.0754,0.0461,0.0704,0.0648,0.0975,0.0784,0.0805,0.0984
19,92619019,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,,1.0,-0.0705,-0.0731,-0.0451,-0.0506,-0.0777,-0.0646,-0.0573,-0.033,-0.1705,-0.1731,-0.1451,-0.1506,-0.1777,-0.1646,-0.1573,-0.133
20,92619020,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,,,0.1815,0.1332,0.1833,0.1806,0.191,0.1557,0.1796,0.2154,0.0815,0.0332,0.0833,0.0806,0.091,0.0557,0.0796,0.1154
