condition,rep,seed,model_spec,n_models,n_items,target_corr,true_effect,rho_model_true,slope_sd_true,tau_model_true,tau_item_true,fit_error,generated_rows,p_min,p_max,pct_below_low,pct_above_high,near_separation,realized_corr,gamma_x,rho_model_target,rho_model_realized,converged,singular,warnings,r_stderr,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,theta,theta_lower,singular_component_reported,singular_component_reclassified
s0p02_m0p03_i0p03,1,92619001,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.06458117551894028,0.9463053727903175,0.0,0.0,False,0.6255616432355497,1.9535074039554474,0.3,0.2545568618191305,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.0263,0.1103,0.8116,-0.1899,0.2425,False,-0.0737,True,0.0,0.0606,,0.0509,0.0,"[0.0509, 0, -0.0593, 0.0128]","[0, 0, ""-Inf"", 0]",model_intercept_sd_zero,model_intercept_sd_zero
s0p02_m0p03_i0p15,1,92619001,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.15,,2400,0.06458117551894028,0.9463053727903175,0.0,0.0,False,0.6255616432355497,1.9535074039554474,0.3,0.2545568618191305,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.0213,0.1098,0.8459,-0.1938,0.2365,False,-0.0787,True,0.0549,0.0243,1.0,0.0892,0.0,"[0.0892, 0.0549, 0.0243, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p02_m0p15_i0p03,1,92619001,M1,24,100,0.6,0.1,0.3,0.02,0.15,0.03,,2400,0.06458117551894028,0.9463053727903175,0.0,0.0,False,0.6255616432355497,1.9535074039554474,0.3,0.2545568618191305,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.0596,0.1102,0.5887,-0.1564,0.2756,False,-0.0404,True,0.0847,0.0151,1.0,0.0,0.0,"[0, 0.0847, 0.0151, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p02_m0p15_i0p15,1,92619001,M1,24,100,0.6,0.1,0.3,0.02,0.15,0.15,,2400,0.06458117551894028,0.9463053727903175,0.0,0.0,False,0.6255616432355497,1.9535074039554474,0.3,0.2545568618191305,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.0286,0.1113,0.7968,-0.1894,0.2467,False,-0.0714,True,0.1636,0.0581,-1.0,0.1357,1.5977e-15,"[0.1357, 0.1636, -0.0581, 4.242e-08]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p1_m0p03_i0p03,1,92619001,M1,24,100,0.6,0.1,0.3,0.1,0.03,0.03,,2400,0.06458117551894028,0.9463053727903175,0.0,0.0,False,0.6255616432355497,1.9535074039554474,0.3,0.25455686181913045,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.0312,0.1112,0.7793,-0.1868,0.2491,False,-0.0688,True,0.0,0.0841,,0.0586,0.0,"[0.0586, 0, -0.0523, 0.0659]","[0, 0, ""-Inf"", 0]",model_intercept_sd_zero,model_intercept_sd_zero
s0p1_m0p03_i0p15,1,92619001,M1,24,100,0.6,0.1,0.3,0.1,0.03,0.15,,2400,0.06458117551894028,0.9463053727903175,0.0,0.0,False,0.6255616432355497,1.9535074039554474,0.3,0.25455686181913045,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.0026,0.1097,0.9809,-0.2124,0.2177,False,-0.0974,True,0.0718,0.0158,1.0,0.1104,0.0,"[0.1104, 0.0718, 0.0158, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p1_m0p15_i0p03,1,92619001,M1,24,100,0.6,0.1,0.3,0.1,0.15,0.03,,2400,0.06458117551894028,0.9463053727903175,0.0,0.0,False,0.6255616432355497,1.9535074039554474,0.3,0.25455686181913045,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.0593,0.1132,0.6005,-0.1626,0.2811,False,-0.0407,True,0.0,0.1161,,0.0286,0.0,"[0.0286, 0, -0.1161, 1.0795e-06]","[0, 0, ""-Inf"", 0]",model_intercept_sd_zero,model_intercept_sd_zero
s0p1_m0p15_i0p15,1,92619001,M1,24,100,0.6,0.1,0.3,0.1,0.15,0.15,,2400,0.06458117551894028,0.9463053727903175,0.0,0.0,False,0.6255616432355497,1.9535074039554474,0.3,0.25455686181913045,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.0441,0.1109,0.6906,-0.1732,0.2615,False,-0.0559,True,0.1732,0.0325,-1.0,0.1308,2.1684e-19,"[0.1308, 0.1732, -0.0325, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p02_m0p03_i0p03,2,92619002,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.05758821100781587,0.93181763003483,0.0,0.0,False,0.6003127737974744,2.0525079882167097,0.3,0.16104355535829612,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.1269,0.1128,0.2606,-0.3479,0.0941,False,-0.2269,False,0.1488,0.1641,-1.0,0.0,0.0,"[0, 0.1488, -0.1641, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p02_m0p03_i0p15,2,92619002,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.15,,2400,0.05758821100781587,0.93181763003483,0.0,0.0,False,0.6003127737974744,2.0525079882167097,0.3,0.16104355535829612,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.1381,0.1138,0.2248,-0.3612,0.0849,False,-0.2381,False,0.1531,0.1652,-1.0,0.1917,-1.7347e-18,"[0.1917, 0.1531, -0.1652, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
