rep,seed,singular__M1_FULL_CORR,singular__M2_FULL_UNCORR,singular__M3_NO_SLOPE,singular__M4_ITEM_ONLY,singular__M5_MODEL_SLOPE_ONLY,slope_zero__M1_FULL_CORR,slope_zero__M2_FULL_UNCORR,slope_zero__M3_NO_SLOPE,slope_zero__M4_ITEM_ONLY,slope_zero__M5_MODEL_SLOPE_ONLY,model_zero__M1_FULL_CORR,model_zero__M2_FULL_UNCORR,model_zero__M3_NO_SLOPE,model_zero__M4_ITEM_ONLY,model_zero__M5_MODEL_SLOPE_ONLY,item_zero__M1_FULL_CORR,item_zero__M2_FULL_UNCORR,item_zero__M3_NO_SLOPE,item_zero__M4_ITEM_ONLY,item_zero__M5_MODEL_SLOPE_ONLY,corr_boundary__M1_FULL_CORR,corr_boundary__M2_FULL_UNCORR,corr_boundary__M3_NO_SLOPE,corr_boundary__M4_ITEM_ONLY,corr_boundary__M5_MODEL_SLOPE_ONLY,estimate__M1_FULL_CORR,estimate__M2_FULL_UNCORR,estimate__M3_NO_SLOPE,estimate__M4_ITEM_ONLY,estimate__M5_MODEL_SLOPE_ONLY,bias__M1_FULL_CORR,bias__M2_FULL_UNCORR,bias__M3_NO_SLOPE,bias__M4_ITEM_ONLY,bias__M5_MODEL_SLOPE_ONLY,se__M1_FULL_CORR,se__M2_FULL_UNCORR,se__M3_NO_SLOPE,se__M4_ITEM_ONLY,se__M5_MODEL_SLOPE_ONLY,p_value__M1_FULL_CORR,p_value__M2_FULL_UNCORR,p_value__M3_NO_SLOPE,p_value__M4_ITEM_ONLY,p_value__M5_MODEL_SLOPE_ONLY
1,92620001,True,True,True,True,True,False,,,,False,False,True,False,,True,True,True,True,True,,True,,,,,0.2009,0.2011,0.1922,0.1926,0.2011,0.1009,0.1011,0.0922,0.0926,0.1011,0.1154,0.1149,0.1067,0.1067,0.1149,0.0817,0.0801,0.0716,0.0709,0.0801
2,92620002,True,True,True,True,True,True,,,,True,True,True,True,,True,True,True,True,True,,,,,,True,0.1112,0.1112,0.1112,0.1112,0.1112,0.0112,0.0112,0.0112,0.0112,0.0112,0.1045,0.1045,0.1045,0.1045,0.1045,0.2873,0.2873,0.2873,0.2873,0.2873
3,92620003,True,True,True,False,True,False,,,,True,False,True,True,,True,False,False,False,False,,True,,,,,0.2415,0.2415,0.2415,0.2415,0.2416,0.1415,0.1415,0.1415,0.1415,0.1416,0.1045,0.1045,0.1045,0.1046,0.1045,0.0209,0.0209,0.0209,0.021,0.0208
4,92620004,True,True,True,False,True,True,,,,True,True,True,True,,True,False,False,False,False,,,,,,,0.2876,0.2876,0.2876,0.2876,0.2877,0.1876,0.1876,0.1876,0.1876,0.1877,0.1057,0.1057,0.1057,0.1059,0.1054,0.0065,0.0065,0.0065,0.0066,0.0064
5,92620005,True,True,True,False,True,True,,,,True,True,True,True,,True,False,False,False,False,,True,,,,True,0.1284,0.1284,0.1284,0.1284,0.1282,0.0284,0.0284,0.0284,0.0284,0.0282,0.1068,0.1068,0.1068,0.1073,0.1061,0.2296,0.2296,0.2296,0.2314,0.227
6,92620006,True,True,True,True,True,False,,,,False,False,False,False,,True,True,True,True,True,,True,,,,,0.0087,0.0018,0.0012,-0.0048,0.0067,-0.0913,-0.0982,-0.0988,-0.1048,-0.0933,0.1072,0.1055,0.1049,0.1043,0.1129,0.9353,0.9867,0.9909,0.9633,0.9525
7,92620007,True,True,True,True,True,True,,,,True,True,True,True,,True,True,True,True,True,,,,,,True,0.0689,0.0689,0.0689,0.0689,0.0689,-0.0311,-0.0311,-0.0311,-0.0311,-0.0311,0.1061,0.1061,0.1061,0.1061,0.1061,0.516,0.516,0.516,0.516,0.516
8,92620008,True,True,True,True,True,False,,,,False,True,True,True,,False,True,True,True,True,,,,,,True,0.1453,0.1453,0.1422,0.1422,0.1449,0.0453,0.0453,0.0422,0.0422,0.0449,0.1081,0.1081,0.1068,0.1068,0.1078,0.179,0.179,0.1829,0.1829,0.1787
9,92620009,True,True,False,False,True,False,,,,False,True,True,False,,False,False,False,False,False,,,,,,True,0.0507,0.0507,0.0454,0.0462,0.0478,-0.0493,-0.0493,-0.0546,-0.0538,-0.0522,0.1151,0.1151,0.1087,0.1084,0.1163,0.6594,0.6594,0.6763,0.6699,0.6809
10,92620010,True,True,True,True,True,False,,,,False,False,True,False,,False,True,True,True,True,,True,,,,True,0.0239,0.0225,0.0344,0.035,0.0239,-0.0761,-0.0775,-0.0656,-0.065,-0.0761,0.1136,0.1148,0.1068,0.1067,0.1136,0.8334,0.8449,0.7473,0.743,0.8334
