rep,seed,model_spec,formula,n_models,n_items,target_corr,true_effect,slope_sd_true,tau_model_true,tau_item_true,rho_model_true,generated_rows,realized_corr,rho_model_realized,near_separation,p_min,p_max,fit_error,converged,singular,warnings,r_stderr,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,singular_component_reported,singular_component_reclassified,slope_zero,model_zero,item_zero,corr_boundary
1,92620001,M1_FULL_CORR,y ~ X + context_len + is_self + (1 | item_id) + (1 + is_self | model_id),24,100,0.6,0.1,0.02,0.03,0.03,0.3,2400,0.5986378984157162,0.24236465487829156,False,0.12400340944193478,0.9420822851702675,,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.2009,0.1154,0.0817,-0.0253,0.4271,False,0.1009,True,0.0061,0.1963,-1.0,0.0,5.1586e-13,model_corr_boundary,model_corr_boundary,False,False,True,True
1,92620001,M2_FULL_UNCORR,y ~ X + context_len + is_self + (1 | item_id) + (1 + is_self || model_id),24,100,0.6,0.1,0.02,0.03,0.03,0.3,2400,0.5986378984157162,0.24236465487829156,False,0.12400340944193478,0.9420822851702675,,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.2011,0.1149,0.0801,-0.0241,0.4264,False,0.1011,True,0.0,,,0.0,0.0,model_intercept_sd_zero,model_intercept_sd_zero,,True,True,
1,92620001,M3_NO_SLOPE,y ~ X + context_len + is_self + (1 | item_id) + (1 | model_id),24,100,0.6,0.1,0.02,0.03,0.03,0.3,2400,0.5986378984157162,0.24236465487829156,False,0.12400340944193478,0.9420822851702675,,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1922,0.1067,0.0716,-0.0169,0.4014,False,0.0922,True,0.08,,,0.0,0.0064,item_intercept_sd_zero,item_intercept_sd_zero,,False,True,
1,92620001,M4_ITEM_ONLY,y ~ X + context_len + is_self + (1 | item_id),24,100,0.6,0.1,0.02,0.03,0.03,0.3,2400,0.5986378984157162,0.24236465487829156,False,0.12400340944193478,0.9420822851702675,,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1926,0.1067,0.0709,-0.0164,0.4017,False,0.0926,True,,,,1.9966e-07,,item_intercept_sd_zero,item_intercept_sd_zero,,,True,
1,92620001,M5_MODEL_SLOPE_ONLY,y ~ X + context_len + is_self + (1 + is_self | model_id),24,100,0.6,0.1,0.02,0.03,0.03,0.3,2400,0.5986378984157162,0.24236465487829156,False,0.12400340944193478,0.9420822851702675,,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.2011,0.1149,0.0801,-0.0241,0.4264,False,0.1011,True,0.0,0.1901,,,0.0,model_intercept_sd_zero,model_intercept_sd_zero,False,True,,
2,92620002,M1_FULL_CORR,y ~ X + context_len + is_self + (1 | item_id) + (1 + is_self | model_id),24,100,0.6,0.1,0.02,0.03,0.03,0.3,2400,0.5895659965496871,0.2677120811816777,False,0.05408971994235833,0.9259237278006367,,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1112,0.1045,0.2873,-0.0936,0.3159,False,0.0112,True,0.0,3.5348e-09,,0.0,0.0,model_slope_sd_zero,model_slope_sd_zero,True,True,True,
2,92620002,M2_FULL_UNCORR,y ~ X + context_len + is_self + (1 | item_id) + (1 + is_self || model_id),24,100,0.6,0.1,0.02,0.03,0.03,0.3,2400,0.5895659965496871,0.2677120811816777,False,0.05408971994235833,0.9259237278006367,,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1112,0.1045,0.2873,-0.0936,0.3159,False,0.0112,True,0.0,,,0.0,0.0,model_intercept_sd_zero,model_intercept_sd_zero,,True,True,
2,92620002,M3_NO_SLOPE,y ~ X + context_len + is_self + (1 | item_id) + (1 | model_id),24,100,0.6,0.1,0.02,0.03,0.03,0.3,2400,0.5895659965496871,0.2677120811816777,False,0.05408971994235833,0.9259237278006367,,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1112,0.1045,0.2873,-0.0936,0.3159,False,0.0112,True,0.0,,,0.0,0.0,model_intercept_sd_zero,model_intercept_sd_zero,,True,True,
2,92620002,M4_ITEM_ONLY,y ~ X + context_len + is_self + (1 | item_id),24,100,0.6,0.1,0.02,0.03,0.03,0.3,2400,0.5895659965496871,0.2677120811816777,False,0.05408971994235833,0.9259237278006367,,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1112,0.1045,0.2873,-0.0936,0.3159,False,0.0112,True,,,,0.0,,item_intercept_sd_zero,item_intercept_sd_zero,,,True,
2,92620002,M5_MODEL_SLOPE_ONLY,y ~ X + context_len + is_self + (1 + is_self | model_id),24,100,0.6,0.1,0.02,0.03,0.03,0.3,2400,0.5895659965496871,0.2677120811816777,False,0.05408971994235833,0.9259237278006367,,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1112,0.1045,0.2873,-0.0936,0.3159,False,0.0112,True,3.1868e-06,4.3504e-06,-1.0,,1.6156e-27,model_slope_sd_zero,model_slope_sd_zero,True,True,,True
