rep,seed,n_rows,n_models,n_items,overall_self_prop,min_model_self_prop,median_model_self_prop,max_model_self_prop,sd_model_self_prop,min_model_n_self,max_model_n_self,min_model_n_control,max_model_n_control,n_models_missing_one_self_level,min_model_self_within_ss,median_model_self_within_ss,corr_is_self_X,corr_is_self_context,corr_X_context,corr_model_selfprop_Xmean,corr_model_selfprop_contextmean,fixed_X_rank,fixed_X_ncols,fixed_X_condition_number,self_within_total_ss,self_within_variance,self_residual_variance_after_X_context,realized_corr,rho_model_realized,near_separation,p_min,p_max
1,92620001,2400,24,100,0.46291666666666664,0.08,0.4,0.93,0.30774748494951776,8,93,7,92,0,6.509999999999995,15.96,0.5986378984157162,0.0069660461247726515,-1.297572535596813e-17,0.9907946309172944,,4,4,3.3657513004134865,378.87,0.1578625,0.15951374561574,0.5986378984157162,0.24236465487829156,False,0.12400340944193478,0.9420822851702675
2,92620002,2400,24,100,0.5191666666666667,0.05,0.605,0.91,0.3031417614520175,5,91,9,95,0,4.75,17.415,0.589565996549687,0.021459373136969988,7.408330513647728e-19,0.9926109101044956,,4,4,3.478207738211902,387.76,0.16156666666666666,0.1627483561521465,0.5895659965496871,0.2677120811816777,False,0.05408971994235833,0.9259237278006367
3,92620003,2400,24,100,0.49125,0.05,0.5,0.98,0.30708039593112646,5,98,2,95,0,1.9600000000000017,16.275,0.5875370483975426,-0.0040351230706636,-2.750839600623577e-19,0.9770760340443962,,4,4,3.391507676662115,382.93,0.15955416666666666,0.16364585174053872,0.5875370483975425,0.26724060756528883,False,0.05993405947548676,0.9666697350698437
4,92620004,2400,24,100,0.4841666666666667,0.04,0.565,0.97,0.31016008022039016,4,97,3,96,0,2.910000000000003,15.695,0.5892817586748907,0.021328484116960686,1.1052911151610829e-18,0.9699089007344235,-6.855944676015468e-17,4,4,3.3813984680589964,378.14,0.15755833333333333,0.162909500157782,0.5892817586748906,0.4115944588233399,False,0.05717444673347194,0.9784199143744112
5,92620005,2400,24,100,0.5033333333333333,0.08,0.535,0.91,0.3058085031187167,8,91,9,92,0,7.36,15.379999999999999,0.5935906127912053,-0.030242969857355792,2.2479170325625396e-18,0.991378561974331,,4,4,3.4488418582748857,384.88,0.16036666666666666,0.16167670084456834,0.5935906127912054,0.3890150798091908,False,0.08933308722672981,0.8859440434786992
6,92620006,2400,24,100,0.4925,0.11,0.47,0.91,0.2973104072528736,11,91,9,89,0,8.189999999999998,16.58,0.5695237037990201,-0.021363861925037305,3.2854021306329096e-18,0.9782830661323338,,4,4,3.333113921383838,396.56,0.16523333333333334,0.16875860482226154,0.5695237037990201,0.4009300877279818,False,0.0655406725099026,0.9207452572180137
7,92620007,2400,24,100,0.51125,0.02,0.54,0.94,0.3074058710649772,2,94,6,98,0,1.96,15.675,0.5959608911297616,0.002232910902837843,-2.2398494240407675e-18,0.9899365325248096,,4,4,3.4773382594553834,382.35,0.1593125,0.16112479684433836,0.5959608911297616,0.3204602033962774,False,0.07060909421550028,0.9112539316877832
8,92620008,2400,24,100,0.5079166666666667,0.04,0.535,0.95,0.31357655145624075,4,95,5,96,0,3.84,15.075,0.6048805406085065,-0.01927892399313327,4.862777124791569e-18,0.9851067531685972,-3.7673599792536654e-17,4,4,3.5033772817257747,373.69000000000005,0.1557041666666667,0.15839724440412015,0.6048805406085065,-0.04269267860068865,False,0.04121400810832793,0.8860991304505135
9,92620009,2400,24,100,0.48,0.09,0.355,0.96,0.32176145633467146,9,96,4,91,0,3.8400000000000034,15.674999999999999,0.6153195061688572,-0.008241107773232182,-1.4438678527962963e-18,0.9759569412901937,,4,4,3.4700544429029105,360.92,0.15038333333333334,0.15507997177190716,0.6153195061688572,0.38368957292221956,False,0.11750590543698056,0.9595692933838458
10,92620010,2400,24,100,0.5125,0.07,0.56,0.94,0.31184235147573053,7,94,6,93,0,5.640000000000005,15.910000000000002,0.6025196559581695,0.007913255589423,-2.424500050996954e-18,0.9865340298280443,,4,4,3.506412231340501,375.96,0.15665,0.15912734435429238,0.6025196559581695,0.28854338372891275,False,0.07244671253486906,0.9414759373120501
