model_id,n,n_self,self_prop,y_mean,X_mean,context_mean,n_control,both_levels,self_within_ss,rep,seed
0,100,29,0.29,0.55,-0.49410360666298736,-0.06458910003460037,71,True,20.589999999999996,1,92620001
1,100,45,0.45,0.69,-0.178136505643387,-0.06458910003460037,55,True,24.750000000000004,1,92620001
2,100,23,0.23,0.63,-0.8695785811424734,-0.06458910003460037,77,True,17.71,1,92620001
3,100,60,0.6,0.59,0.2961435457463537,-0.06458910003460037,40,True,24.0,1,92620001
4,100,65,0.65,0.69,0.3118715804052581,-0.06458910003460037,35,True,22.75,1,92620001
5,100,91,0.91,0.79,1.5028791844189267,-0.06458910003460037,9,True,8.189999999999998,1,92620001
6,100,22,0.22,0.57,-0.8661428405513777,-0.06458910003460037,78,True,17.16,1,92620001
7,100,50,0.5,0.62,-0.006563270535538734,-0.06458910003460037,50,True,25.0,1,92620001
8,100,67,0.67,0.69,0.45544405929808995,-0.06458910003460037,33,True,22.109999999999996,1,92620001
9,100,91,0.91,0.75,1.6139328269451827,-0.06458910003460037,9,True,8.189999999999998,1,92620001
10,100,11,0.11,0.6,-1.0947325524522444,-0.06458910003460037,89,True,9.790000000000001,1,92620001
11,100,8,0.08,0.58,-1.159953629466191,-0.06458910003460037,92,True,7.36,1,92620001
12,100,27,0.27,0.54,-0.49153850903297247,-0.06458910003460037,73,True,19.71,1,92620001
13,100,46,0.46,0.68,-0.05541229184807328,-0.06458910003460037,54,True,24.840000000000003,1,92620001
14,100,82,0.82,0.62,0.9413578160848459,-0.06458910003460037,18,True,14.760000000000003,1,92620001
15,100,93,0.93,0.82,1.6547842244297826,-0.06458910003460037,7,True,6.509999999999995,1,92620001
16,100,9,0.09,0.62,-1.1235569080201575,-0.06458910003460037,91,True,8.19,1,92620001
17,100,14,0.14,0.57,-1.051842978443588,-0.06458910003460037,86,True,12.040000000000001,1,92620001
18,100,18,0.18,0.6,-0.7984209712013381,-0.06458910003460037,82,True,14.760000000000002,1,92620001
19,100,14,0.14,0.53,-0.8848127690929192,-0.06458910003460037,86,True,12.040000000000001,1,92620001
20,100,93,0.93,0.66,1.6496472735579761,-0.06458910003460037,7,True,6.509999999999995,1,92620001
21,100,90,0.9,0.69,1.5078283352255024,-0.06458910003460037,10,True,8.999999999999998,1,92620001
22,100,28,0.28,0.63,-0.5682872788798274,-0.06458910003460037,72,True,20.16,1,92620001
23,100,35,0.35,0.53,-0.2908061531388402,-0.06458910003460037,65,True,22.75,1,92620001
0,100,39,0.39,0.67,-0.36145593115760555,-0.10242133317756787,61,True,23.79,2,92620002
1,100,90,0.9,0.69,1.2679659982237848,-0.10242133317756787,10,True,8.999999999999998,2,92620002
2,100,86,0.86,0.62,0.9504085771497711,-0.10242133317756787,14,True,12.040000000000001,2,92620002
3,100,72,0.72,0.7,0.518659331921981,-0.10242133317756787,28,True,20.160000000000004,2,92620002
4,100,9,0.09,0.63,-1.2084334715007383,-0.10242133317756787,91,True,8.19,2,92620002
5,100,91,0.91,0.7,0.9979224984814278,-0.10242133317756787,9,True,8.189999999999998,2,92620002
6,100,42,0.42,0.56,-0.16877971872213138,-0.10242133317756787,58,True,24.360000000000003,2,92620002
7,100,59,0.59,0.68,0.3044705196273778,-0.10242133317756787,41,True,24.19,2,92620002
8,100,62,0.62,0.63,0.2484364773783252,-0.10242133317756787,38,True,23.56,2,92620002
9,100,24,0.24,0.54,-0.7580451154612895,-0.10242133317756787,76,True,18.240000000000002,2,92620002
10,100,62,0.62,0.69,0.2577435792210885,-0.10242133317756787,38,True,23.56,2,92620002
11,100,85,0.85,0.65,0.7589973324718002,-0.10242133317756787,15,True,12.750000000000002,2,92620002
12,100,27,0.27,0.62,-0.4577420843278599,-0.10242133317756787,73,True,19.71,2,92620002
13,100,7,0.07,0.53,-1.242205644329097,-0.10242133317756787,93,True,6.510000000000001,2,92620002
14,100,76,0.76,0.63,0.5447022123219174,-0.10242133317756787,24,True,18.24,2,92620002
15,100,5,0.05,0.54,-1.4365499175319503,-0.10242133317756787,95,True,4.75,2,92620002
16,100,66,0.66,0.58,0.3529320485115637,-0.10242133317756787,34,True,22.439999999999998,2,92620002
17,100,81,0.81,0.62,0.8448061722744472,-0.10242133317756787,19,True,15.389999999999995,2,92620002
18,100,87,0.87,0.58,0.8719376665466231,-0.10242133317756787,13,True,11.31,2,92620002
19,100,14,0.14,0.58,-0.9600817142833691,-0.10242133317756787,86,True,12.040000000000001,2,92620002
20,100,74,0.74,0.63,0.562689574676897,-0.10242133317756787,26,True,19.240000000000002,2,92620002
21,100,57,0.57,0.66,0.09014399272769325,-0.10242133317756787,43,True,24.509999999999998,2,92620002
22,100,10,0.1,0.55,-1.2438098328723761,-0.10242133317756787,90,True,9.0,2,92620002
23,100,21,0.21,0.62,-0.7347125513482825,-0.10242133317756787,79,True,16.59,2,92620002
0,100,84,0.84,0.68,0.686607548072283,-0.005554426303044411,16,True,13.440000000000003,3,92620003
1,100,22,0.22,0.67,-0.611110061286757,-0.005554426303044411,78,True,17.16,3,92620003
2,100,74,0.74,0.65,0.398666825913196,-0.005554426303044411,26,True,19.240000000000002,3,92620003
3,100,86,0.86,0.6,0.8206704935853023,-0.005554426303044411,14,True,12.040000000000001,3,92620003
4,100,11,0.11,0.56,-0.9751396563944184,-0.005554426303044411,89,True,9.790000000000001,3,92620003
5,100,55,0.55,0.68,0.10548434353574088,-0.005554426303044411,45,True,24.75,3,92620003
6,100,50,0.5,0.68,0.09786926649116623,-0.005554426303044411,50,True,25.0,3,92620003
7,100,84,0.84,0.71,0.8947287293394162,-0.005554426303044411,16,True,13.440000000000003,3,92620003
8,100,28,0.28,0.6,-0.5003485460487429,-0.005554426303044411,72,True,20.16,3,92620003
9,100,42,0.42,0.64,-0.16020040398743518,-0.005554426303044411,58,True,24.360000000000003,3,92620003
10,100,29,0.29,0.64,-0.23067544745238777,-0.005554426303044411,71,True,20.589999999999996,3,92620003
11,100,14,0.14,0.58,-0.5619907602633116,-0.005554426303044411,86,True,12.040000000000001,3,92620003
12,100,85,0.85,0.63,0.8096825084761133,-0.005554426303044411,15,True,12.750000000000002,3,92620003
13,100,7,0.07,0.53,-1.0800394995578522,-0.005554426303044411,93,True,6.510000000000001,3,92620003
14,100,81,0.81,0.57,0.3686118734740784,-0.005554426303044411,19,True,15.389999999999995,3,92620003
15,100,9,0.09,0.51,-0.8224896483840655,-0.005554426303044411,91,True,8.19,3,92620003
16,100,33,0.33,0.57,-0.29589193809335335,-0.005554426303044411,67,True,22.11,3,92620003
17,100,23,0.23,0.66,-0.6143522633547231,-0.005554426303044411,77,True,17.71,3,92620003
18,100,70,0.7,0.64,0.5016789993067086,-0.005554426303044411,30,True,21.000000000000004,3,92620003
19,100,98,0.98,0.73,1.4878739829558043,-0.005554426303044411,2,True,1.9600000000000017,3,92620003
20,100,5,0.05,0.56,-1.2162763954370224,-0.005554426303044411,95,True,4.75,3,92620003
21,100,50,0.5,0.68,-0.050493139925153585,-0.005554426303044411,50,True,25.0,3,92620003
22,100,88,0.88,0.65,1.0195448440720778,-0.005554426303044411,12,True,10.559999999999999,3,92620003
23,100,51,0.51,0.56,-0.07241165503667446,-0.005554426303044411,49,True,24.99,3,92620003
0,100,97,0.97,0.74,1.478055242582359,-0.11320386457207757,3,True,2.910000000000003,4,92620004
1,100,87,0.87,0.64,0.7768275396669876,-0.11320386457207757,13,True,11.31,4,92620004
2,100,64,0.64,0.68,0.18822349376317504,-0.11320386457207757,36,True,23.04,4,92620004
3,100,43,0.43,0.67,-0.08669598365053055,-0.11320386457207757,57,True,24.51,4,92620004
4,100,9,0.09,0.6,-0.8542746428105074,-0.11320386457207757,91,True,8.19,4,92620004
5,100,68,0.68,0.64,0.24787172261178192,-0.11320386457207757,32,True,21.759999999999998,4,92620004
6,100,33,0.33,0.64,-0.15143478124901755,-0.11320386457207757,67,True,22.11,4,92620004
7,100,61,0.61,0.61,0.26095365885657884,-0.11320386457207757,39,True,23.79,4,92620004
8,100,11,0.11,0.57,-0.8649101057470254,-0.11320386457207757,89,True,9.790000000000001,4,92620004
9,100,83,0.83,0.61,0.6999147483336401,-0.11320386457207757,17,True,14.110000000000003,4,92620004
10,100,17,0.17,0.57,-0.541403523232324,-0.11320386457207757,83,True,14.11,4,92620004
