metric,mean,sd,min,q05,q25,median,q75,q95,max
n_rows,2400.0,0.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0
n_models,24.0,0.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
n_items,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
overall_self_prop,0.4995416666666666,0.015296929392874069,0.46291666666666664,0.472375,0.48843749999999997,0.5035416666666667,0.50875,0.5205416666666667,0.5258333333333334
min_model_self_prop,0.06200000000000001,0.03252585178719781,0.0,0.014500000000000002,0.04,0.06,0.08,0.11,0.13
median_model_self_prop,0.5013333333333333,0.08121845099242657,0.315,0.3685,0.435,0.5275,0.56,0.605,0.615
max_model_self_prop,0.9416666666666667,0.026008398289960002,0.9,0.9045000000000001,0.92,0.94,0.96,0.9854999999999999,0.99
sd_model_self_prop,0.31023419478972286,0.00686790379461006,0.2969259776979509,0.29968742169897356,0.30612647632181916,0.30926206583111,0.3140163627929382,0.3218747567955927,0.326988620552787
min_model_n_self,6.2,3.2525851787197806,0.0,1.4500000000000002,4.0,6.0,8.0,11.0,13.0
max_model_n_self,94.16666666666667,2.600839828996002,90.0,90.45,92.0,94.0,96.0,98.55,99.0
min_model_n_control,5.833333333333333,2.600839828996002,1.0,1.4500000000000002,4.0,6.0,8.0,9.549999999999997,10.0
max_model_n_control,93.8,3.25258517871978,87.0,89.0,92.0,94.0,96.0,98.55,100.0
n_models_missing_one_self_level,0.03333333333333333,0.18257418583505527,0.0,0.0,0.0,0.0,0.0,0.0,1.0
min_model_self_within_ss,4.15,2.1986955380328386,0.0,0.9900000000000004,2.91,3.8400000000000034,5.640000000000005,7.3599999999999985,8.189999999999998
median_model_self_within_ss,15.879333333333332,1.2635300395794071,13.094999999999999,13.764000000000003,15.382499999999999,15.802500000000002,16.50875,17.840249999999997,18.71
corr_is_self_X,0.5972068081039085,0.013065792416663023,0.5695237037990201,0.5770032000760748,0.5894206441245302,0.5960516001471929,0.6025413863572038,0.6173108186691515,0.6303671470192076
corr_is_self_context,-0.002852782098179688,0.017812513964360815,-0.04965346865972348,-0.030355648099276013,-0.014167165251319828,0.00040324401416897023,0.009519187597460378,0.0214004730779658,0.027635055774103124
corr_X_context,-6.803186695948015e-19,4.4028711122461425e-18,-1.297572535596813e-17,-7.26381880700778e-18,-2.876376999293583e-18,-4.303572705485209e-19,2.0494489355106114e-18,4.8167929310753584e-18,1.0395605367468649e-17
corr_model_selfprop_Xmean,0.9827889177035171,0.006088133509768002,0.9699089007344235,0.9713385392904922,0.9784951110227631,0.9829516636903923,0.9881461084116708,0.9911157929986646,0.9926109101044956
corr_model_selfprop_contextmean,4.5272414273699786e-17,1.6854194845485895e-16,-1.2261156673485859e-16,-1.0909853674118261e-16,-6.083798501825017e-17,-1.8836799896268327e-17,1.4043402980502522e-16,2.81736637660628e-16,3.1323372585638166e-16
fixed_X_rank,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
fixed_X_ncols,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
fixed_X_condition_number,3.4533093560604815,0.06384833762097564,3.333113921383838,3.364962504582409,3.401942334109932,3.4518393942221373,3.482107060066202,3.5482099902512383,3.620588140270086
self_within_total_ss,377.98766666666666,9.98305000845254,353.73,361.04600000000005,371.71,379.315,384.3925,393.041,397.21
self_within_variance,0.15749486111111113,0.0041596041701885585,0.1473875,0.15043583333333335,0.15487916666666668,0.15804791666666668,0.16016354166666666,0.16376708333333334,0.16550416666666665
self_residual_variance_after_X_context,0.16057152901836105,0.003959677445095389,0.15056993402434354,0.15438193737037031,0.15879343418210495,0.1609950616767852,0.16286921415637312,0.16670828263636553,0.16875860482226154
realized_corr,0.5972068081039085,0.013065792416663011,0.5695237037990201,0.5770032000760748,0.5894206441245302,0.5960516001471929,0.6025413863572038,0.6173108186691514,0.6303671470192076
rho_model_realized,0.30943313459348265,0.15277859393747248,-0.04269267860068865,0.06438047952948558,0.2301055737815974,0.2970708167987558,0.40892836604950034,0.5009758019431926,0.6832643255945634
p_min,0.0729793360530565,0.02834635675903267,0.027864557409705625,0.02922821659125794,0.05770201667330449,0.07016833769345175,0.08818470891532218,0.12107953263970536,0.13540514454645777
p_max,0.9342541287789049,0.025777777901605917,0.8859440434786992,0.8869834257980055,0.9135396052665797,0.9365246275338004,0.955381547582125,0.971441456822025,0.9784199143744112
