rep,singular_bool__BAL_050,singular_bool__OBS_030,singular_bool__OBS_060,singular_bool__RAND_000,realized_corr__BAL_050,realized_corr__OBS_030,realized_corr__OBS_060,realized_corr__RAND_000,min_model_n_self__BAL_050,min_model_n_self__OBS_030,min_model_n_self__OBS_060,min_model_n_self__RAND_000,min_model_n_control__BAL_050,min_model_n_control__OBS_030,min_model_n_control__OBS_060,min_model_n_control__RAND_000,corr_model_selfprop_X__BAL_050,corr_model_selfprop_X__OBS_030,corr_model_selfprop_X__OBS_060,corr_model_selfprop_X__RAND_000
1,True,True,True,True,-2.4154850240096796e-18,0.3182059441611421,0.6126640004898215,-0.005592268170096254,50,22,4,42,50,24,5,40,,0.968672964029297,0.990710220855104,-0.06522656223806153
2,True,True,True,True,-2.1391496213673983e-18,0.3122545780659823,0.6103865697413915,-0.008147175906461449,50,16,3,38,50,26,9,38,,0.9174189077740961,0.9846937818007179,-0.07361243916926578
3,True,True,True,True,2.9110527508034496e-18,0.32005531727280945,0.5885248880312033,0.002477527725987531,50,27,9,40,50,19,5,41,,0.9773236941334149,0.9871072773701559,0.0286113778831133
4,True,True,True,True,0.0,0.27874464926142817,0.5858097196986249,0.007034156436735729,50,27,10,40,50,23,5,36,,0.9404399248032211,0.9859530696314805,0.06718005408138662
5,True,True,True,True,7.5664064372516905e-19,0.29411493094521735,0.5910723577948971,-0.004280587347739991,50,23,8,40,50,29,9,38,,0.9572577754604843,0.9897201348940536,-0.03849428510634919
6,True,True,True,True,1.4435098143958836e-19,0.310236513559781,0.5741311951281571,0.017791295733804193,50,22,4,40,50,16,3,36,,0.9599223830391463,0.9817512229468529,0.16457251884289711
7,True,True,True,True,2.239913121224967e-18,0.30334599817277885,0.5959662071434318,-0.011219664010012807,50,18,4,40,50,21,2,36,,0.9452369079527637,0.9767100357696149,-0.09199964959722416
8,True,True,True,True,0.0,0.2970298337594151,0.6138926713462303,-0.02316419842048154,50,18,1,41,50,21,2,40,,0.9348594936720028,0.9769111746094041,-0.22204961080881133
9,True,True,True,True,-1.0679638400031843e-18,0.29851522914720935,0.5993465163186368,-0.033701461335132694,50,21,1,40,50,25,4,38,,0.9626713751935051,0.9797841973617274,-0.3531504823510334
10,True,True,True,True,1.032719842808501e-18,0.28803934513827356,0.591846149853382,-0.014505379474488498,50,18,1,38,50,25,6,38,,0.9379804738743415,0.9724760136103542,-0.12904714518495095
11,True,True,True,True,-8.867852047466682e-19,0.31211241573154097,0.6200260866194999,0.019344879130796334,50,25,4,41,50,27,10,41,,0.9643514061581692,0.9846263397631293,0.18642479359572
12,True,True,True,True,-4.869566156744075e-19,0.28931217840409734,0.5819565141292976,-0.022375744021306758,50,22,4,42,50,24,4,43,,0.9618352852278625,0.9848199711422027,-0.2671098909255524
13,True,True,True,True,-4.39122346157939e-19,0.29206690463770363,0.5974543418885315,-0.000731333763871386,50,23,5,41,50,27,8,42,,0.9527989140004831,0.9815993289603516,-0.009145424457400969
14,True,True,True,True,4.684885825194529e-19,0.30755746220805374,0.59900306741205,-0.0032855963613008564,50,22,8,43,50,25,4,41,,0.9694711604537464,0.9855467703173422,-0.03714586932847271
15,True,True,True,True,-1.9861713475046684e-19,0.2627225304522397,0.5798984342411061,-0.01590917833149542,50,28,8,41,50,28,9,39,,0.9612581891578525,0.9910098851391016,-0.18735539868185078
16,True,True,True,True,-1.531168200757336e-18,0.2772319026181861,0.576050434508029,-0.014472875224452892,50,20,9,39,50,25,11,44,,0.9335497892607761,0.9899835377456045,-0.17360281849947887
17,True,True,True,True,-1.5901948960485712e-18,0.31321526893271884,0.5780031974132652,0.006739898703113649,50,23,9,43,50,26,13,40,,0.9633331241576432,0.9869101024579829,0.07928658070616655
18,True,True,True,True,-9.13265464935522e-19,0.31667513502835976,0.6069596021600564,0.006005146734528532,50,22,7,39,50,21,7,38,,0.9453566866147367,0.9902614064510205,0.0458637281029005
19,True,True,True,True,-5.826801944226083e-19,0.26995234388379685,0.5774634478144993,-0.008564410484611967,50,29,7,39,50,26,12,36,,0.9337275247837291,0.9921220055305966,-0.08044637204937082
20,True,True,True,True,8.140639275009939e-19,0.2722919617277933,0.58865316760957,0.002135701380720604,50,23,5,44,50,28,6,47,,0.9560943835006177,0.9868232578588428,0.03645493578034132
21,True,True,True,True,8.396383352707547e-19,0.3057128017334835,0.6063666936630445,0.003338028148397689,50,25,5,40,50,21,5,40,,0.9505349396264059,0.9787248552551955,0.03376184586458256
22,True,True,True,True,-2.795027878685058e-18,0.3281323659305156,0.6090331886891663,0.0007943107241839462,50,22,4,37,50,21,5,39,,0.9499743188445029,0.9888963475031952,0.006688629198976309
23,True,True,True,True,-2.41299022251245e-19,0.30278809031237003,0.6115019514207645,0.03150684939623105,50,21,4,44,50,16,2,40,,0.9665438902736507,0.9727254297427608,0.38683704347397435
24,True,True,True,True,-9.64139330000166e-19,0.2890450703558985,0.6002695174378467,-0.0227179849685552,50,23,5,41,50,23,6,28,,0.9303651373509219,0.9814157800841521,-0.19260925637440254
25,True,True,True,True,-1.8042839383158703e-18,0.2626426163128317,0.5962242245933427,-0.012392513597459442,50,25,3,40,50,28,5,43,,0.9454127351139343,0.9814398226134853,-0.1443789330605143
26,True,True,True,True,4.20438833132755e-19,0.27129522076038015,0.5931475955509875,0.0069620091326465135,50,30,5,38,50,24,2,37,,0.916064005110898,0.9767805830401334,0.052715116270821136
27,True,True,True,True,-1.0623897016578419e-18,0.28661714139156685,0.5976822973298241,-0.03275782702319816,50,20,4,42,50,23,4,41,,0.9306468927182823,0.9762859984951413,-0.3110023588769764
28,True,True,True,True,8.55137048849257e-19,0.3094713883323294,0.6059704576188293,0.003190144643472865,50,18,3,42,50,25,5,38,,0.955719252800453,0.9874339375280426,0.03342257431170082
29,True,True,True,True,9.324425068111133e-19,0.28687759545996666,0.6011973121470615,-0.04386405361119908,50,28,10,40,50,18,3,36,,0.923008838988285,0.9800908894872431,-0.4019239899904143
30,True,True,True,True,2.8332184068525387e-18,0.27205512430490614,0.5739567835035034,0.0007501215155981967,50,29,9,37,50,22,4,41,,0.9790014840752383,0.9900637341512618,0.00777954887228458
