rep,seed,condition,target_corr,n_models,n_items,true_effect,slope_sd,tau_model,tau_item,rho_model,realized_corr,gamma_x,p_min,p_max,pct_p_below_05,pct_p_above_95,overall_self_prop,min_model_n_self,min_model_n_control,min_model_self_prop,max_model_self_prop,median_model_self_prop,corr_model_selfprop_X,rho_model_realized,converged,singular,warnings,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,error,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,theta,theta_lower,singular_component,fit_error,singular_bool,model_slope_sd_num,model_intercept_sd_num,item_intercept_sd_num,model_intercept_slope_corr_num,estimate_num,bias_num,se_num,p_value_num,ci_low_num,ci_high_num,slope_zero,model_zero,item_zero,corr_boundary
1,92621001,OBS_060,0.6,24,100,0.1,0.02,0.03,0.03,0.3,0.6126640004898215,1.6038971270980507,0.08476359360530435,0.903720917205019,0.0,0.0,0.5154166666666666,4,5,0.04,0.95,0.595,0.990710220855104,0.13149729624712667,True,True,boundary (singular) fit: see help('isSingular'),-0.003,0.1118,0.9789,-0.2221,0.2162,False,-0.103,True,,0.0115,0.1278,-1,0.145,1.4756e-11,"[0.145, 0.0115, -0.1278, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.1278,0.0115,0.145,-1.0,-0.003,-0.103,0.1118,0.9789,-0.2221,0.2162,False,False,False,True
1,92621001,OBS_030,0.3,24,100,0.1,0.02,0.03,0.03,0.3,0.3182059441611421,0.6535367663106002,0.2749811191990713,0.7134972981697854,0.0,0.0,0.50875,22,24,0.22,0.76,0.56,0.968672964029297,0.13149729624712667,True,True,boundary (singular) fit: see help('isSingular'),0.0091,0.0912,0.9206,-0.1697,0.1878,False,-0.0909,True,,0.0057,0.065,1,0.1489,6.7763e-21,"[0.1489, 0.0057, 0.065, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.065,0.0057,0.1489,1.0,0.0091,-0.0909,0.0912,0.9206,-0.1697,0.1878,False,False,False,True
1,92621001,RAND_000,0.0,24,100,0.1,0.02,0.03,0.03,0.3,-0.005592268170096254,0.0,0.5,0.5,0.0,0.0,0.5175,42,40,0.42,0.6,0.515,-0.06522656223806153,0.13149729624712667,True,True,boundary (singular) fit: see help('isSingular'),0.0272,0.0854,0.7498,-0.1402,0.1947,False,-0.0728,True,,0.0,2.2359e-07,NaN,0.1365,0.0,"[0.1365, 0, -2.1819e-07, 4.8831e-08]","[0, 0, '-Inf', 0]",model_slope_sd_zero,,True,2.2359e-07,0.0,0.1365,,0.0272,-0.0728,0.0854,0.7498,-0.1402,0.1947,True,True,False,False
1,92621001,BAL_050,,24,100,0.1,0.02,0.03,0.03,0.3,-2.4154850240096796e-18,,0.5,0.5,0.0,0.0,0.5,50,50,0.5,0.5,0.5,,0.13149729624712667,True,True,boundary (singular) fit: see help('isSingular'),0.0045,0.0854,0.9584,-0.1629,0.1718,False,-0.0955,True,,1.0222e-07,9.5428e-08,-1,0.137,-7.8886e-31,"[0.137, 1.0222e-07, -9.5428e-08, 0]","[0, 0, '-Inf', 0]",model_slope_sd_zero,,True,9.5428e-08,1.0222e-07,0.137,-1.0,0.0045,-0.0955,0.0854,0.9584,-0.1629,0.1718,True,True,False,True
2,92621002,OBS_060,0.6,24,100,0.1,0.02,0.03,0.03,0.3,0.6103865697413915,1.7973624659185956,0.07657215449514233,0.9102823214532019,0.0,0.0,0.5054166666666666,3,9,0.03,0.91,0.485,0.9846937818007179,0.17278647434590888,True,True,boundary (singular) fit: see help('isSingular'),-0.0548,0.1165,0.6379,-0.2832,0.1735,False,-0.1548,True,,0.0779,0.1966,-1,0.0,0.0,"[0, 0.0779, -0.1966, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.1966,0.0779,0.0,-1.0,-0.0548,-0.1548,0.1165,0.6379,-0.2832,0.1735,False,False,True,True
2,92621002,OBS_030,0.3,24,100,0.1,0.02,0.03,0.03,0.3,0.3122545780659823,0.7290169565029492,0.26700016161085716,0.7190631271870394,0.0,0.0,0.5058333333333334,16,26,0.16,0.74,0.49,0.9174189077740961,0.17278647434590888,True,True,boundary (singular) fit: see help('isSingular'),-0.1162,0.0978,0.2346,-0.3079,0.0754,False,-0.2162,False,,0.0,0.182,NaN,0.0,0.0,"[0, 0, 0.1775, 0.0402]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,0.182,0.0,0.0,,-0.1162,-0.2162,0.0978,0.2346,-0.3079,0.0754,False,True,True,False
2,92621002,RAND_000,0.0,24,100,0.1,0.02,0.03,0.03,0.3,-0.008147175906461449,0.0,0.5,0.5,0.0,0.0,0.4995833333333333,38,38,0.38,0.62,0.49,-0.07361243916926578,0.17278647434590888,True,True,boundary (singular) fit: see help('isSingular'),-0.0234,0.0951,0.8057,-0.2098,0.163,False,-0.1234,True,,0.0,0.2017,NaN,1.2543e-07,0.0,"[1.2543e-07, 0, 0.094, 0.1784]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,0.2017,0.0,1.2543e-07,,-0.0234,-0.1234,0.0951,0.8057,-0.2098,0.163,False,True,True,False
2,92621002,BAL_050,,24,100,0.1,0.02,0.03,0.03,0.3,-2.1391496213673983e-18,,0.5,0.5,0.0,0.0,0.5,50,50,0.5,0.5,0.5,,0.17278647434590888,True,True,boundary (singular) fit: see help('isSingular'),0.0234,0.0984,0.8123,-0.1695,0.2163,False,-0.0766,True,,0.054,0.2379,-1,0.0,4.3368e-19,"[0, 0.054, -0.2379, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.2379,0.054,0.0,-1.0,0.0234,-0.0766,0.0984,0.8123,-0.1695,0.2163,False,False,True,True
3,92621003,OBS_060,0.6,24,100,0.1,0.02,0.03,0.03,0.3,0.5885248880312033,1.926069313423535,0.08508939801394542,0.9182371391438666,0.0,0.0,0.48541666666666666,9,5,0.09,0.95,0.41000000000000003,0.9871072773701559,0.2315314053219254,True,True,boundary (singular) fit: see help('isSingular'),0.2615,0.1074,0.0149,0.051,0.472,True,0.1615,True,,0.0,0.0943,NaN,0.0,0.0,"[0, 0, -0.0915, 0.0231]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,0.0943,0.0,0.0,,0.2615,0.1615,0.1074,0.0149,0.051,0.472,False,True,True,False
3,92621003,OBS_030,0.3,24,100,0.1,0.02,0.03,0.03,0.3,0.32005531727280945,0.8490026382723643,0.25981239264413025,0.7438587833384633,0.0,0.0,0.505,27,19,0.27,0.81,0.485,0.9773236941334149,0.2315314053219254,True,True,boundary (singular) fit: see help('isSingular'),0.1485,0.0903,0.1002,-0.0285,0.3254,False,0.0485,True,,0.1018,0.0498,-1,0.0,4.3368e-19,"[0, 0.1018, -0.0498, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.0498,0.1018,0.0,-1.0,0.1485,0.0485,0.0903,0.1002,-0.0285,0.3254,False,False,True,True
