rep,singular_bool__P5_A_24x100,singular_bool__P5_B_24x400,singular_bool__P5_C_50x100,singular_bool__P5_D_50x400,singular_bool__P5_E_100x100,singular_bool__P5_F_100x400,slope_zero__P5_A_24x100,slope_zero__P5_B_24x400,slope_zero__P5_C_50x100,slope_zero__P5_D_50x400,slope_zero__P5_E_100x100,slope_zero__P5_F_100x400,model_zero__P5_A_24x100,model_zero__P5_B_24x400,model_zero__P5_C_50x100,model_zero__P5_D_50x400,model_zero__P5_E_100x100,model_zero__P5_F_100x400,item_zero__P5_A_24x100,item_zero__P5_B_24x400,item_zero__P5_C_50x100,item_zero__P5_D_50x400,item_zero__P5_E_100x100,item_zero__P5_F_100x400,corr_finite__P5_A_24x100,corr_finite__P5_B_24x400,corr_finite__P5_C_50x100,corr_finite__P5_D_50x400,corr_finite__P5_E_100x100,corr_finite__P5_F_100x400,corr_boundary__P5_A_24x100,corr_boundary__P5_B_24x400,corr_boundary__P5_C_50x100,corr_boundary__P5_D_50x400,corr_boundary__P5_E_100x100,corr_boundary__P5_F_100x400,model_slope_sd_num__P5_A_24x100,model_slope_sd_num__P5_B_24x400,model_slope_sd_num__P5_C_50x100,model_slope_sd_num__P5_D_50x400,model_slope_sd_num__P5_E_100x100,model_slope_sd_num__P5_F_100x400,model_intercept_sd_num__P5_A_24x100,model_intercept_sd_num__P5_B_24x400,model_intercept_sd_num__P5_C_50x100,model_intercept_sd_num__P5_D_50x400,model_intercept_sd_num__P5_E_100x100,model_intercept_sd_num__P5_F_100x400,item_intercept_sd_num__P5_A_24x100,item_intercept_sd_num__P5_B_24x400,item_intercept_sd_num__P5_C_50x100,item_intercept_sd_num__P5_D_50x400,item_intercept_sd_num__P5_E_100x100,item_intercept_sd_num__P5_F_100x400,model_intercept_slope_corr_num__P5_A_24x100,model_intercept_slope_corr_num__P5_B_24x400,model_intercept_slope_corr_num__P5_C_50x100,model_intercept_slope_corr_num__P5_D_50x400,model_intercept_slope_corr_num__P5_E_100x100,model_intercept_slope_corr_num__P5_F_100x400,estimate_num__P5_A_24x100,estimate_num__P5_B_24x400,estimate_num__P5_C_50x100,estimate_num__P5_D_50x400,estimate_num__P5_E_100x100,estimate_num__P5_F_100x400,bias_num__P5_A_24x100,bias_num__P5_B_24x400,bias_num__P5_C_50x100,bias_num__P5_D_50x400,bias_num__P5_E_100x100,bias_num__P5_F_100x400,se_num__P5_A_24x100,se_num__P5_B_24x400,se_num__P5_C_50x100,se_num__P5_D_50x400,se_num__P5_E_100x100,se_num__P5_F_100x400
1,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,1.7848e-06,0.0494,0.1697,0.0347,0.1347,0.0382,1.492e-06,0.0292,0.181,0.025,0.1267,0.0123,0.0,0.0482,0.0,0.0946,0.0,0.0654,-1.0,-1.0,-1.0,-1.0,-0.9198,-1.0,0.0938,0.1593,0.1694,0.1348,0.1711,0.1479,-0.0062,0.0593,0.0694,0.0348,0.0711,0.0479,0.0852,0.0436,0.0636,0.0298,0.0438,0.0212
2,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True,False,True,True,True,True,0.3218,2.4528e-08,0.2533,0.1032,0.2637,0.0867,0.171,0.0,0.1016,0.0412,0.1268,0.0355,0.0,0.0,0.1026,0.0798,0.0737,0.0937,-1.0,,-1.0,-1.0,-1.0,-1.0,0.1152,0.0411,0.149,0.1037,0.105,0.1096,0.0152,-0.0589,0.049,0.0037,0.005,0.0096,0.1076,0.0427,0.069,0.0329,0.0493,0.0225
3,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,0.1226,0.1389,0.09,0.0798,0.1294,0.0858,0.0,0.0951,0.0,0.0636,0.0,0.0503,0.0,0.0,0.0,0.0,0.0775,0.0215,,-0.4297,,0.2133,,0.0675,0.148,0.1796,0.124,0.127,0.1116,0.1294,0.048,0.0796,0.024,0.027,0.0116,0.0294,0.0876,0.0508,0.0598,0.0314,0.0435,0.0225
4,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True,False,0.1303,0.1008,0.2158,0.121,0.0925,0.0823,0.0515,0.0386,0.0778,0.0088,0.0174,0.0356,0.1375,0.0,0.0687,0.0,0.0518,0.0,-0.9873,1.0,-0.6265,1.0,-1.0,0.0234,0.1841,0.1492,0.157,0.1152,0.0782,0.0924,0.0841,0.0492,0.057,0.0152,-0.0218,-0.0076,0.0911,0.0474,0.0668,0.0341,0.0427,0.0224
5,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False,False,0.0958,0.0016,0.1777,0.0438,0.0825,0.0575,0.1001,0.0654,0.0,0.0264,0.0,0.0,0.2007,0.0,0.0979,0.0956,0.0744,0.0686,-1.0,-1.0,,1.0,,,-0.0164,0.094,0.0503,0.0597,0.1069,0.0957,-0.1164,-0.006,-0.0497,-0.0403,0.0069,-0.0043,0.0881,0.0427,0.0639,0.0301,0.0424,0.0216
6,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,0.3341,0.1082,0.1714,0.0886,0.0431,0.0713,0.2129,0.0,0.0,0.0037,0.1141,0.0,0.0,0.0,0.1193,0.0908,0.1065,0.0578,-0.6789,,,1.0,1.0,,0.1142,0.0084,0.0803,0.0219,0.1108,0.0574,0.0142,-0.0916,-0.0197,-0.0781,0.0108,-0.0426,0.1091,0.0478,0.0635,0.0319,0.0419,0.022
7,True,True,True,False,True,True,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.1123,0.0968,0.1368,0.1087,0.0314,0.062,0.0,0.0,0.0,0.0656,0.0,0.0,0.0,4.8118e-08,0.1118,0.0658,0.0534,0.013,,,,-0.8827,,,0.2107,0.1372,0.2194,0.1152,0.1796,0.1313,0.1107,0.0372,0.1194,0.0152,0.0796,0.0313,0.0881,0.0468,0.0625,0.0333,0.0419,0.0217
8,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,0.2127,0.1145,0.0095,1.3903e-06,0.101,0.0253,0.1099,0.1019,0.0057,0.0,0.0875,0.0408,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,,-1.0,-1.0,0.081,0.1306,0.1711,0.143,0.1449,0.123,-0.019,0.0306,0.0711,0.043,0.0449,0.023,0.095,0.0483,0.0589,0.0295,0.0427,0.021
9,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,True,False,True,False,True,False,True,False,True,False,0.1398,0.1039,0.1208,0.0801,0.0997,0.0642,0.0114,0.0869,0.0154,0.0,0.0285,0.0,0.0765,0.1022,0.0,0.0513,0.0477,0.054,-1.0,-0.8238,-1.0,,-1.0,,0.036,0.0875,0.0236,0.0774,0.039,0.0706,-0.064,-0.0125,-0.0764,-0.0226,-0.061,-0.0294,0.0895,0.0475,0.0614,0.0315,0.0429,0.0218
10,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,9.2292e-09,4.5371e-08,6.8295e-06,1.0398e-06,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0339,0.0,1.3785e-08,0.0558,1.5604e-07,0.0834,0.0,,,1.0,,,1.0,0.2121,0.1418,0.2267,0.1301,0.232,0.1216,0.1121,0.0418,0.1267,0.0301,0.132,0.0216,0.0843,0.0422,0.0588,0.0294,0.0416,0.0208
