rep,seed,cell,n_models,n_items,true_effect,slope_sd,tau_model,tau_item,rho_model,beta0,beta_x,beta_c,n_obs,realized_corr,overall_self_prop,min_model_n_self,min_model_n_control,min_model_self_prop,max_model_self_prop,median_model_self_prop,corr_model_selfprop_X,min_within_self_ss,median_within_self_ss,total_within_self_ss,rho_model_realized,p_min,p_max,pct_outcome_p_below_05,pct_outcome_p_above_95,converged,singular,warnings,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,error,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,theta,theta_lower,singular_component,fit_error,singular_bool,model_slope_sd_num,model_intercept_sd_num,item_intercept_sd_num,model_intercept_slope_corr_num,estimate_num,bias_num,se_num,p_value_num,ci_low_num,ci_high_num,slope_zero,model_zero,item_zero,corr_finite,corr_boundary
1,92622001,P5_A_24x100,24,100,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,2400,9.013248794303004e-19,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.18108864977185252,0.5297121563572871,0.7362654108961387,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),0.0938,0.0852,0.2709,-0.0731,0.2607,False,-0.0062,True,,1.492e-06,1.7848e-06,-1,0.0,-2.0195e-28,"[0, 1.492e-06, -1.7848e-06, 0]","[0, 0, '-Inf', 0]",model_slope_sd_zero,,True,1.7848e-06,1.492e-06,0.0,-1.0,0.0938,-0.0062,0.0852,0.2709,-0.0731,0.2607,True,True,True,True,True
1,92622001,P5_B_24x400,24,400,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,9600,-1.5773185390030262e-18,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,2400.0,0.18108864977185252,0.5297121563572871,0.7362654108961387,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),0.1593,0.0436,0.0003,0.0739,0.2446,True,0.0593,True,,0.0292,0.0494,-1,0.0482,4.6252e-14,"[0.0482, 0.0292, -0.0494, 4.2236e-07]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.0494,0.0292,0.0482,-1.0,0.1593,0.0593,0.0436,0.0003,0.0739,0.2446,False,False,False,True,True
1,92622001,P5_C_50x100,50,100,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,5000,6.285106302989589e-19,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,1250.0,0.2607003723922676,0.5289237153633691,0.7383915486526256,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),0.1694,0.0636,0.0077,0.0448,0.2941,True,0.0694,True,,0.181,0.1697,-1,0.0,1.7347e-18,"[0, 0.181, -0.1697, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.1697,0.181,0.0,-1.0,0.1694,0.0694,0.0636,0.0077,0.0448,0.2941,False,False,True,True,True
1,92622001,P5_D_50x400,50,400,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,20000,-1.257021260597918e-18,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,5000.0,0.2607003723922676,0.5289237153633691,0.7383915486526256,0.0,0.0,True,True,[],0.1348,0.0298,6.0074e-06,0.0764,0.1932,True,0.0348,True,,0.025,0.0347,-1,0.0946,5.421e-20,"[0.0946, 0.025, -0.0347, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.0347,0.025,0.0946,-1.0,0.1348,0.0348,0.0298,6.0074e-06,0.0764,0.1932,False,False,False,True,True
1,92622001,P5_E_100x100,100,100,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,10000,-4.96090898440387e-20,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,2500.0,0.24544402872245688,0.5232193323020213,0.7383915486526256,0.0,0.0,True,True,[],0.1711,0.0438,0.0001,0.0852,0.257,True,0.0711,True,,0.1267,0.1347,-0.9198,0.0,0.0014,"[0, 0.1267, -0.1239, 0.0529]","[0, 0, '-Inf', 0]",item_intercept_sd_zero,,True,0.1347,0.1267,0.0,-0.9198,0.1711,0.0711,0.0438,0.0001,0.0852,0.257,False,False,True,True,False
1,92622001,P5_F_100x400,100,400,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,40000,6.650718607216442e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.24544402872245688,0.5232193323020213,0.7383915486526256,0.0,0.0,True,True,[],0.1479,0.0212,2.6846e-12,0.1065,0.1894,True,0.0479,False,,0.0123,0.0382,-1,0.0654,2.7105e-20,"[0.0654, 0.0123, -0.0382, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.0382,0.0123,0.0654,-1.0,0.1479,0.0479,0.0212,2.6846e-12,0.1065,0.1894,False,False,False,True,True
2,92622002,P5_A_24x100,24,100,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,2400,1.4000397213175532e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.10253460586875777,0.5529556583361804,0.7226091873509404,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),0.1152,0.1076,0.2843,-0.0957,0.3262,False,0.0152,True,,0.171,0.3218,-1,0.0,-3.4694e-18,"[0, 0.171, -0.3218, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.3218,0.171,0.0,-1.0,0.1152,0.0152,0.1076,0.2843,-0.0957,0.3262,False,False,True,True,True
2,92622002,P5_B_24x400,24,400,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,9600,-1.066696930527659e-18,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,2400.0,0.10253460586875777,0.541218910091924,0.735022897898121,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),0.0411,0.0427,0.3352,-0.0425,0.1248,False,-0.0589,True,,0.0,2.4528e-08,NaN,0.0,0.0,"[0, 0, -2.4528e-08, 0]","[0, 0, '-Inf', 0]",model_slope_sd_zero,,True,2.4528e-08,0.0,0.0,,0.0411,-0.0589,0.0427,0.3352,-0.0425,0.1248,True,True,True,False,False
2,92622002,P5_C_50x100,50,100,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,5000,5.00488756372968e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,1250.0,0.38595422436036053,0.5341546016642575,0.7304229350228879,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),0.149,0.069,0.0308,0.0138,0.2842,True,0.049,True,,0.1016,0.2533,-1,0.1026,0.0,"[0.1026, 0.1016, -0.2533, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.2533,0.1016,0.1026,-1.0,0.149,0.049,0.069,0.0308,0.0138,0.2842,False,False,False,True,True
2,92622002,P5_D_50x400,50,400,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,20000,-1.9919950502406684e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,5000.0,0.38595422436036053,0.5183792068557888,0.7401800507157881,0.0,0.0,True,True,[],0.1037,0.0329,0.0016,0.0393,0.1682,True,0.0037,True,,0.0412,0.1032,-1,0.0798,2.626e-13,"[0.0798, 0.0412, -0.1032, 1.382e-06]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.1032,0.0412,0.0798,-1.0,0.1037,0.0037,0.0329,0.0016,0.0393,0.1682,False,False,False,True,True
