rep,seed,cell,n_models,n_items,true_rho,singular_M1,singular_M2,converged_M1,converged_M2,estimate_M1,estimate_M2,se_M1,se_M2,bias_M1,bias_M2,model_intercept_sd_M1,model_intercept_sd_M2,model_slope_sd_M1,model_slope_sd_M2,item_intercept_sd_M1,item_intercept_sd_M2,model_intercept_slope_corr_M1,model_intercept_slope_corr_M2,model_cov_min_eigenvalue_M1,model_cov_min_eigenvalue_M2,slope_zero_M1,slope_zero_M2,model_intercept_zero_M1,model_intercept_zero_M2,item_intercept_zero_M1,item_intercept_zero_M2,corr_boundary_M1,corr_boundary_M2,singularity_transition,estimate_difference_M2_minus_M1,se_difference_M2_minus_M1
1,92623001,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.1818,0.1846,0.0939,0.0848,0.0818,0.0846,0.176,0.0162,0.1973,2.5783e-07,0.0,5.4975e-08,-1,NA,0.0,6.6476e-14,False,True,False,False,True,True,True,False,both_singular,0.002799999999999997,-0.009099999999999997
1,92623001,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.1856,0.1885,0.0936,0.0848,0.0856,0.0885,0.1747,0.0202,0.1934,0.0,0.0,0.0,-1,NA,3.4694e-18,0.0,False,True,False,False,True,True,True,False,both_singular,0.0029000000000000137,-0.008800000000000002
1,92623001,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.1083,0.1081,0.0208,0.0208,0.0083,0.0081,0.033,0.0401,0.017,0.0,0.0471,0.0471,1,NA,0.0,0.0,False,True,False,False,False,False,True,False,both_singular,-0.00019999999999999185,0.0
1,92623001,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.1083,0.1081,0.0212,0.0208,0.0083,0.0081,0.0,0.0454,0.0439,8.1697e-07,0.0494,0.0496,NaN,NA,0.0,6.6744e-13,False,True,True,False,False,False,False,False,both_singular,-0.00019999999999999185,-0.00040000000000000105
2,92623002,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,-0.0787,-0.0764,0.0953,0.0863,-0.1787,-0.1764,0.1282,0.0,0.1982,0.0,0.0,0.0,-1,NA,0.0,0.0,False,True,False,True,True,True,True,False,both_singular,0.0023000000000000104,-0.008999999999999994
2,92623002,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,-0.075,-0.0726,0.0952,0.0863,-0.175,-0.1726,0.1276,0.0,0.1963,0.0,0.0,0.0,-1,NA,0.0,0.0,False,True,False,True,True,True,True,False,both_singular,0.0023999999999999994,-0.008900000000000005
2,92623002,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.1185,0.1185,0.0211,0.0211,0.0185,0.0185,0.0,1.1034e-06,0.0358,0.0358,0.0266,0.0266,NaN,NA,0.0,1.2176e-12,False,False,True,True,False,False,False,False,both_singular,0.0,0.0
2,92623002,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.1187,0.1187,0.0215,0.0211,0.0187,0.0187,0.0158,0.0,0.0537,0.0368,0.0151,0.0152,-1,NA,2.5076e-10,0.0,False,False,False,True,False,False,True,False,both_singular,0.0,-0.0003999999999999976
3,92623003,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.1613,0.1594,0.0877,0.0888,0.0613,0.0594,0.0876,0.1067,0.1213,0.1396,0.0,0.0,1,NA,0.0,0.0114,False,False,False,False,True,True,True,False,both_singular,-0.0019000000000000128,0.0011000000000000038
3,92623003,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.1572,0.1552,0.0873,0.0877,0.0572,0.0552,0.0881,0.1106,0.1143,0.1233,0.0,0.0,1,NA,0.0,0.0122,False,False,False,False,True,True,True,False,both_singular,-0.0020000000000000018,0.0003999999999999976
