rep,seed,cell,fit_spec,n_models,n_items,n_obs,true_rho,true_effect,true_slope_sd,true_tau_model,true_tau_item,dataset_sha256,realized_corr,overall_self_prop,min_model_n_self,min_model_n_control,min_model_self_prop,max_model_self_prop,median_model_self_prop,corr_model_selfprop_X,min_within_self_ss,median_within_self_ss,total_within_self_ss,rho_model_realized,p_min,p_max,pct_outcome_p_below_05,pct_outcome_p_above_95,fit_error,r_fit_spec,converged,singular,warnings,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,theta,theta_lower,singular_component,slope_zero,model_intercept_zero,item_intercept_zero,corr_boundary
1,92623001,P6_A_LOW_RHO0,M1,24,100,2400,0.0,0.1,0.02,0.03,0.03,617903427b5f76a1c7759ffabc903ed6989a71d66e31ae0529706dce80e17c47,-1.8849786359872233e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.2831612312422442,0.5356548475157875,0.7178120470383432,0.0,0.0,,M1,True,True,boundary (singular) fit: see help('isSingular'),0.1818,0.0939,0.053,-0.0023,0.3659,False,0.0818,True,0.176,0.1973,-1,0.0,0.0,"[0, 0.176, -0.1973, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,False,False,True,True
1,92623001,P6_A_LOW_RHO0,M2,24,100,2400,0.0,0.1,0.02,0.03,0.03,617903427b5f76a1c7759ffabc903ed6989a71d66e31ae0529706dce80e17c47,-1.8849786359872233e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.2831612312422442,0.5356548475157875,0.7178120470383432,0.0,0.0,,M2,True,True,boundary (singular) fit: see help('isSingular'),0.1846,0.0848,0.0295,0.0184,0.3509,True,0.0846,True,0.0162,2.5783e-07,NA,5.4975e-08,6.6476e-14,"[5.4975e-08, 0.0162, 2.5783e-07]","[0, 0, 0]",model_slope_sd_zero,True,False,True,False
1,92623001,P6_B_LOW_RHO30,M1,24,100,2400,0.3,0.1,0.02,0.03,0.03,452b5025bb55e5f7bbdb6534c0f4f1bd5cb4684d951a98b68ab8a526af095f16,-1.8849786359872233e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.525961575010927,0.5356548475157875,0.717980867675467,0.0,0.0,,M1,True,True,boundary (singular) fit: see help('isSingular'),0.1856,0.0936,0.0474,0.0021,0.3691,True,0.0856,True,0.1747,0.1934,-1,0.0,3.4694e-18,"[0, 0.1747, -0.1934, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,False,False,True,True
1,92623001,P6_B_LOW_RHO30,M2,24,100,2400,0.3,0.1,0.02,0.03,0.03,452b5025bb55e5f7bbdb6534c0f4f1bd5cb4684d951a98b68ab8a526af095f16,-1.8849786359872233e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.525961575010927,0.5356548475157875,0.717980867675467,0.0,0.0,,M2,True,True,boundary (singular) fit: see help('isSingular'),0.1885,0.0848,0.0263,0.0222,0.3548,True,0.0885,True,0.0202,0.0,NA,0.0,0.0,"[0, 0.0202, 0]","[0, 0, 0]",model_slope_sd_zero,True,False,True,False
1,92623001,P6_C_HIGH_RHO0,M1,100,400,40000,0.0,0.1,0.02,0.03,0.03,a4f5df11bf5222f29e063b155a1fa15ab6654d9424e0e767f42d1eeb68b11df0,4.378820022722021e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.06415619586416188,0.5274164817836567,0.7419409295886199,0.0,0.0,,M1,True,True,[],0.1083,0.0208,2.0216e-07,0.0674,0.1491,True,0.0083,True,0.033,0.017,1,0.0471,0.0,"[0.0471, 0.033, 0.017, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,False,False,False,True
1,92623001,P6_C_HIGH_RHO0,M2,100,400,40000,0.0,0.1,0.02,0.03,0.03,a4f5df11bf5222f29e063b155a1fa15ab6654d9424e0e767f42d1eeb68b11df0,4.378820022722021e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.06415619586416188,0.5274164817836567,0.7419409295886199,0.0,0.0,,M2,True,True,[],0.1081,0.0208,1.9314e-07,0.0674,0.1488,True,0.0081,True,0.0401,0.0,NA,0.0471,0.0,"[0.0471, 0.0401, 0]","[0, 0, 0]",model_slope_sd_zero,True,False,False,False
1,92623001,P6_D_HIGH_RHO30,M1,100,400,40000,0.3,0.1,0.02,0.03,0.03,9ff98b40af707d5cf29b800e58da188b22ccf9bbc987be00c454a3aefa55007c,4.378820022722021e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.3661344719532198,0.5274164817836567,0.7433994840249706,0.0,0.0,,M1,True,True,[],0.1083,0.0212,3.3309e-07,0.0667,0.1499,True,0.0083,True,0.0,0.0439,NaN,0.0494,0.0,"[0.0494, 0, -0.0406, 0.0167]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,False,True,False,False
1,92623001,P6_D_HIGH_RHO30,M2,100,400,40000,0.3,0.1,0.02,0.03,0.03,9ff98b40af707d5cf29b800e58da188b22ccf9bbc987be00c454a3aefa55007c,4.378820022722021e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.3661344719532198,0.5274164817836567,0.7433994840249706,0.0,0.0,,M2,True,True,[],0.1081,0.0208,1.9321e-07,0.0674,0.1488,True,0.0081,True,0.0454,8.1697e-07,NA,0.0496,6.6744e-13,"[0.0496, 0.0454, 8.1697e-07]","[0, 0, 0]",model_slope_sd_zero,True,False,False,False
2,92623002,P6_A_LOW_RHO0,M1,24,100,2400,0.0,0.1,0.02,0.03,0.03,16c570f3646e9076ed833211b844413f375e83750474c6cb07c4330681464215,2.4945801483392827e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,-0.006650991247094349,0.532092413185081,0.7328651116758824,0.0,0.0,,M1,True,True,boundary (singular) fit: see help('isSingular'),-0.0787,0.0953,0.409,-0.2655,0.1081,False,-0.1787,True,0.1282,0.1982,-1,0.0,0.0,"[0, 0.1282, -0.1982, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,False,False,True,True
2,92623002,P6_A_LOW_RHO0,M2,24,100,2400,0.0,0.1,0.02,0.03,0.03,16c570f3646e9076ed833211b844413f375e83750474c6cb07c4330681464215,2.4945801483392827e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,-0.006650991247094349,0.532092413185081,0.7328651116758824,0.0,0.0,,M2,True,True,boundary (singular) fit: see help('isSingular'),-0.0764,0.0863,0.376,-0.2454,0.0927,False,-0.1764,False,0.0,0.0,NA,0.0,0.0,"[0, 0, 0]","[0, 0, 0]",model_slope_sd_zero,True,True,True,False
