block,elapsed_seconds,expected_fits,integrity_pass,phase,phase6_generator_source_sha256,r_fitter_sha256,recorded_rows,rep_end,rep_start,results_file,results_sha256,runner_sha256,manifest_file,manifest_sha256
1,20330.686207056046,400,True,7,5d9b0c6a17132d6d14261106972bdf6c35cb687cd9cf9c761a1e178aeff33358,ac3f128af92a10fbdb1ca627a9f0e6af0ac032a6587155a47f6dc8280f187530,400,50,1,phase7_block_01_results.csv,402035350bd8705d26c7ccd6a16fd644e60f45b5f9c7038d178a5c820f1644f1,1f9192b4e1f0d9bf21b90191165f2b83c7c0a8286856dd7e6d105a2f737717fe,phase7_block_01_manifest.json,a50db09650b446de6c5ddda37c2c7ac7cea08f592f1e7d8c2ce8814520fe1d89
2,19357.36531829834,400,True,7,5d9b0c6a17132d6d14261106972bdf6c35cb687cd9cf9c761a1e178aeff33358,ac3f128af92a10fbdb1ca627a9f0e6af0ac032a6587155a47f6dc8280f187530,400,100,51,phase7_block_02_results.csv,3bc6b3395e59b12820fb54bd233fba1254448444357db2e56e371563cdc3dce0,1f9192b4e1f0d9bf21b90191165f2b83c7c0a8286856dd7e6d105a2f737717fe,phase7_block_02_manifest.json,94e3c2c5040438a7cdb164ec5391837a8a1d63d5a961bbc03b6c196ca4fed536
3,18168.153458595276,400,True,7,5d9b0c6a17132d6d14261106972bdf6c35cb687cd9cf9c761a1e178aeff33358,ac3f128af92a10fbdb1ca627a9f0e6af0ac032a6587155a47f6dc8280f187530,400,150,101,phase7_block_03_results.csv,1ff01ce6e37f90223e6450cbeeddce6a195824982833c5b160aa9c57e8ab8289,1f9192b4e1f0d9bf21b90191165f2b83c7c0a8286856dd7e6d105a2f737717fe,phase7_block_03_manifest.json,c88c39ca2b132172c6438438793b1472158f7e58276c096a0e53ce9cbef294a6
4,18156.026132822037,400,True,7,5d9b0c6a17132d6d14261106972bdf6c35cb687cd9cf9c761a1e178aeff33358,ac3f128af92a10fbdb1ca627a9f0e6af0ac032a6587155a47f6dc8280f187530,400,200,151,phase7_block_04_results.csv,2ce77ad8a82d83b121fa5602246a20df8b6c036d106ff3613287c2c4ec9aa3b4,1f9192b4e1f0d9bf21b90191165f2b83c7c0a8286856dd7e6d105a2f737717fe,phase7_block_04_manifest.json,9be6401bbcc9af96aabffcc9b05ef771de0db28f6c0191874d8699a9bd2082fc
5,19180.944900989532,400,True,7,5d9b0c6a17132d6d14261106972bdf6c35cb687cd9cf9c761a1e178aeff33358,ac3f128af92a10fbdb1ca627a9f0e6af0ac032a6587155a47f6dc8280f187530,400,250,201,phase7_block_05_results.csv,0ceb31719bd597c8c424916e4fb9edd907f509a457cae0792b58c8e4ecd35e29,1f9192b4e1f0d9bf21b90191165f2b83c7c0a8286856dd7e6d105a2f737717fe,phase7_block_05_manifest.json,d15d3bccd0b798abaebb1da248b362c1e8256c7c9d44b2c40043e697c37055c1
6,17045.097017288208,400,True,7,5d9b0c6a17132d6d14261106972bdf6c35cb687cd9cf9c761a1e178aeff33358,ac3f128af92a10fbdb1ca627a9f0e6af0ac032a6587155a47f6dc8280f187530,400,300,251,phase7_block_06_results.csv,338769c421e7c57c85611519db28b268b05002b9ae9f25b451da2e4a03de2885,1f9192b4e1f0d9bf21b90191165f2b83c7c0a8286856dd7e6d105a2f737717fe,phase7_block_06_manifest.json,8b81a1aa073d030b93ddef4fd3c358ff6f09a1fd5d66f1981c50069e10402993
7,21775.827719688416,400,True,7,5d9b0c6a17132d6d14261106972bdf6c35cb687cd9cf9c761a1e178aeff33358,ac3f128af92a10fbdb1ca627a9f0e6af0ac032a6587155a47f6dc8280f187530,400,350,301,phase7_block_07_results.csv,bcf7406e1657d5267512c647d705642e6d01fc7bba83b7411c5e151263eb8812,1f9192b4e1f0d9bf21b90191165f2b83c7c0a8286856dd7e6d105a2f737717fe,phase7_block_07_manifest.json,f80c8d2ab842b660a823d742105aa4982af95cb515b22e11072df9fef7535d3a
8,17509.041764497757,400,True,7,5d9b0c6a17132d6d14261106972bdf6c35cb687cd9cf9c761a1e178aeff33358,ac3f128af92a10fbdb1ca627a9f0e6af0ac032a6587155a47f6dc8280f187530,400,400,351,phase7_block_08_results.csv,317d3093c81dff69ce3ea8faf4b6f60da7e14d1168b4eaa2ebd5dec1c5b61201,1f9192b4e1f0d9bf21b90191165f2b83c7c0a8286856dd7e6d105a2f737717fe,phase7_block_08_manifest.json,af14cb5b632cd53aed82eca74a0e28c1ca320756f200a3c75545432fb6102c35
9,19901.036546468735,400,True,7,5d9b0c6a17132d6d14261106972bdf6c35cb687cd9cf9c761a1e178aeff33358,ac3f128af92a10fbdb1ca627a9f0e6af0ac032a6587155a47f6dc8280f187530,400,450,401,phase7_block_09_results.csv,455e18681641c166d1a1b1e5367b397fa7e60239f005bbe158c583514bdd7024,1f9192b4e1f0d9bf21b90191165f2b83c7c0a8286856dd7e6d105a2f737717fe,phase7_block_09_manifest.json,028c16316c52baa8efca7f4e792b4620c7b8724a9436ef9e5630a44c52b21006
10,18671.469603061676,400,True,7,5d9b0c6a17132d6d14261106972bdf6c35cb687cd9cf9c761a1e178aeff33358,ac3f128af92a10fbdb1ca627a9f0e6af0ac032a6587155a47f6dc8280f187530,400,500,451,phase7_block_10_results.csv,0947643c6514f08ef7949b5bee81b7f3c87e8ed7f5bd6f31ae8e7fe64e0cb25e,1f9192b4e1f0d9bf21b90191165f2b83c7c0a8286856dd7e6d105a2f737717fe,phase7_block_10_manifest.json,0bb49890b398eea5908f414076e0b58960c92b06ce097a478e2d802be5d73aa5
