rep,cell,true_effect,true_rho,dataset_sha256,M1_evaluable,M2_evaluable,estimate_difference_M2_minus_M1,se_difference_M2_minus_M1,M1_rejected,M2_rejected,M1_covered,M2_covered,M1_singular,M2_singular
1,P7_A_NULL_RHO0,0.0,0.0,68b46f4d89e3d3d648e05cb1a39a70bae0f19b23a4494ce6725c8b92c8a34a65,True,True,0.0,0.0,1.0,1.0,0.0,0.0,True,True
1,P7_B_NULL_RHO30,0.0,0.3,3802ece49eec89815da7d229d21dda8176d481f39b2e09d129112c7812e6bdd9,True,True,-9.999999999999593e-05,-0.00030000000000000165,1.0,1.0,0.0,0.0,True,True
1,P7_C_EFFECT_RHO0,0.1,0.0,0705be8ea2a355a5f32a02683d66cd4ddcd5c98af72d0ce63cb971bf9883532b,True,True,-9.999999999998899e-05,-0.00020000000000000226,1.0,1.0,0.0,0.0,True,True
1,P7_D_EFFECT_RHO30,0.1,0.3,41920641dc7909609c6c28130a22a39ce17f8b82cf757a896b534a3dc3cbfa3e,True,True,0.0,-0.00030000000000000165,1.0,1.0,0.0,0.0,True,True
2,P7_A_NULL_RHO0,0.0,0.0,9bf9c1dc1ed993e0f9bbc5134197eee983158451fb163ad0cee7355c711cbd5f,True,True,0.0,-0.001299999999999999,0.0,0.0,1.0,1.0,True,True
2,P7_B_NULL_RHO30,0.0,0.3,261009883797e05236d7b2a1be744054229e048f27925018f5c5498b7741f0f1,True,True,-9.99999999999994e-05,-0.001400000000000002,0.0,0.0,1.0,1.0,True,True
2,P7_C_EFFECT_RHO0,0.1,0.0,c3dc7caca82f181fd55dccb80fb8b042827df87181da20e9e4c00ef47d7adbc8,True,True,-0.00010000000000000286,-0.0015000000000000013,1.0,1.0,1.0,1.0,True,True
2,P7_D_EFFECT_RHO30,0.1,0.3,d9d28ce983668b355ab524cb45629f3b696799c851f40698a8503946f61eb73f,True,True,-0.00010000000000000286,-0.0016000000000000007,1.0,1.0,1.0,1.0,True,True
3,P7_A_NULL_RHO0,0.0,0.0,a37d38b8930f64506cb6954be2aac745174bd9be7403021c3590f61d1df8807d,True,True,0.0,0.0,0.0,0.0,1.0,1.0,False,False
3,P7_B_NULL_RHO30,0.0,0.3,d9889122bcd96f6706b326ee961e7ae5c147a727b64bfec5b006e929b7d444cd,True,True,0.0,0.0,0.0,0.0,1.0,1.0,False,False
3,P7_C_EFFECT_RHO0,0.1,0.0,7b352e94740f5c41ab0e6d1636ab7d8e193b00b520a2ebb14e4844ff09529985,True,True,0.0,0.0,1.0,1.0,1.0,1.0,False,False
3,P7_D_EFFECT_RHO30,0.1,0.3,d29c574df5ab8cc7aca10fb24be4c9977cb83b98f6c2b05fb0a64d9a41c1d329,True,True,-9.999999999998899e-05,9.99999999999994e-05,1.0,1.0,1.0,1.0,False,False
4,P7_A_NULL_RHO0,0.0,0.0,b2f3938c36221f3a4e72e8b9e004377287a63b4237a3975d639926ae80567807,True,True,-9.99999999999994e-05,0.0,0.0,0.0,1.0,1.0,True,True
4,P7_B_NULL_RHO30,0.0,0.3,6883b2c6f94eacab283545d3f375ce4d8b3afe2f32e8eaf62d717e1ffe4b2035,True,True,0.0,-0.00030000000000000165,0.0,0.0,1.0,1.0,True,True
4,P7_C_EFFECT_RHO0,0.1,0.0,1fecd3fa440cd1cf8c0b57ec43979cd6f467b32b9bd35f5f330eb6823637c542,True,True,-0.00019999999999999185,-0.0002999999999999982,1.0,1.0,1.0,1.0,True,True
4,P7_D_EFFECT_RHO30,0.1,0.3,a6aa9b5df6f6ef69a284acee8a0ba3428bc278904eb5c0cf54f334f2aaa79a58,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,True
5,P7_A_NULL_RHO0,0.0,0.0,02e3816823939819ae24a8a950c18d342e17e0c2bebafa504f07f8ae3acc00ea,True,True,-0.0002999999999999999,-0.00040000000000000105,0.0,0.0,1.0,1.0,True,True
5,P7_B_NULL_RHO30,0.0,0.3,437ae0c7ff36b3b239b114f5590868a24e4303149213e2a534ae9279e58f18be,True,True,-0.0002999999999999999,-0.0005000000000000004,0.0,0.0,1.0,1.0,True,True
5,P7_C_EFFECT_RHO0,0.1,0.0,76ad33d40819a82b37834d3743fb0ff99b66dd8f7ce9f2daf53d5df48e02f4d5,True,True,-0.0003000000000000086,-0.0006999999999999992,1.0,1.0,1.0,1.0,True,True
5,P7_D_EFFECT_RHO30,0.1,0.3,05ebf84966af94d8612d63c5b8379e2dfe40b56219d224b061e6a336f740d228,True,True,-0.0003999999999999976,-0.0008000000000000021,1.0,1.0,1.0,1.0,True,True
6,P7_A_NULL_RHO0,0.0,0.0,bfe03cacc627af528bd4a35bab5816cdaaeb81d94caa3dbe798b309684050401,True,True,0.0,0.0,1.0,1.0,0.0,0.0,True,True
6,P7_B_NULL_RHO30,0.0,0.3,a45f21be12ce312a264b1abb757873d721e16df2a110212538e655d67ef10b07,True,True,0.0,0.0,1.0,1.0,0.0,0.0,True,True
6,P7_C_EFFECT_RHO0,0.1,0.0,e9fadc07c7e2b3a99747d858a5adba0435017ebb3cc866cb9374b0291cbfdc84,True,True,0.0,0.0,1.0,1.0,0.0,0.0,True,True
6,P7_D_EFFECT_RHO30,0.1,0.3,bf41058040b1ad3855a35801499d1284225332ee28ea99fb416f349c9d84f0f9,True,True,0.0,-9.99999999999994e-05,1.0,1.0,1.0,1.0,True,False
7,P7_A_NULL_RHO0,0.0,0.0,3c1e0dabdc5806a63448ded0f8963001125fc4b648036c39980e47af85029740,True,True,0.0005000000000000004,-0.0022000000000000006,0.0,0.0,1.0,1.0,False,False
7,P7_B_NULL_RHO30,0.0,0.3,037a5af815c5383b500ccc0ca58ff19755cf11792f373253a8e4498669f6c74c,True,True,0.00040000000000000105,-0.002100000000000001,0.0,0.0,1.0,1.0,False,False
7,P7_C_EFFECT_RHO0,0.1,0.0,14529517e38f80fcc0b24ec2e65ff80a71421c419ab2150cedb0d6d5775d70e6,True,True,0.00040000000000001146,-0.002400000000000003,1.0,1.0,1.0,1.0,False,False
7,P7_D_EFFECT_RHO30,0.1,0.3,bb9c08a6b11d777f1f4f1d2e0f99d3d9c47b738133bd13bc7f6a02d2f9e755f1,True,True,-9.999999999998899e-05,-9.99999999999994e-05,1.0,1.0,1.0,1.0,True,False
8,P7_A_NULL_RHO0,0.0,0.0,05571c0daee1a8afc7cccbb0fa5d51b656fce7bffa1b4a7d530ac75b12fe017d,True,True,0.0001999999999999988,-9.99999999999994e-05,0.0,0.0,1.0,1.0,True,True
8,P7_B_NULL_RHO30,0.0,0.3,dc97186a0a7d8bebdcfb9df0bec7e878b43a0677cafc24cc27a2ba700291ccb6,True,True,0.00020000000000000226,-9.99999999999994e-05,0.0,0.0,1.0,1.0,True,True
8,P7_C_EFFECT_RHO0,0.1,0.0,4f47e8ec42ea444fc65538022f6bdeca6bbb8d97e16583cdff04cad0d1623a36,True,True,0.00020000000000000573,-0.00020000000000000226,1.0,1.0,1.0,1.0,True,True
8,P7_D_EFFECT_RHO30,0.1,0.3,ab81d7d9a8d5302161ee5df5b5735cd34f93e0c062440a7fbebd3c9a72b0ed79,True,True,0.00020000000000000573,-0.00020000000000000226,1.0,1.0,1.0,1.0,True,True
9,P7_A_NULL_RHO0,0.0,0.0,251c225e1961b37f0ac2ff786307ee82038a86bda991694766eecfdfb7f31cfe,True,True,0.0,0.0,0.0,0.0,1.0,1.0,True,True
9,P7_B_NULL_RHO30,0.0,0.3,668a7a82712542be24f7e34d4ac501bf0460308bf877c0cfa96b8208c6d0e022,True,True,0.00020000000000000226,-0.0009000000000000015,0.0,0.0,1.0,1.0,False,True
9,P7_C_EFFECT_RHO0,0.1,0.0,6415a3bbbe0cd9222760dc3d65f3cac99e6330effe791c0c811d000a46f67d39,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,True
9,P7_D_EFFECT_RHO30,0.1,0.3,bba6c3b1a1319914001afc74c9753d7a17746a7121876aec9fb7fb3629285b7d,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,True
10,P7_A_NULL_RHO0,0.0,0.0,24984f1941c20e5095cc71e5b5206745d0ed3334c528179cf7de7d23e680ce4f,True,True,0.0,0.0,0.0,0.0,1.0,1.0,True,True
10,P7_B_NULL_RHO30,0.0,0.3,e861c71a967287477e7623be0d05b7841c5fed73da397fa9cfceaaeeb8073e4d,True,True,-9.99999999999994e-05,0.0,0.0,0.0,1.0,1.0,True,True
10,P7_C_EFFECT_RHO0,0.1,0.0,fdec27dac5cbaa67063f69fedf8ef9f3681a1174fda0a97f78fc663b36db71ca,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,True
10,P7_D_EFFECT_RHO30,0.1,0.3,ee2e841cea04823d21549eb38da6054d2157672630d9e626c2939aaa873f5cf3,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,True
11,P7_A_NULL_RHO0,0.0,0.0,f0b65a7aaf7f762ba590470eb019586c79a5175a9687f84c9978295b6572121f,True,True,0.0,-9.99999999999994e-05,0.0,0.0,1.0,1.0,True,True
11,P7_B_NULL_RHO30,0.0,0.3,b650b08215f4324e534ca467a83e17ad911c5e57009a053f5fb2eef6f29b88f2,True,True,0.0,-0.00010000000000000286,0.0,0.0,1.0,1.0,True,True
11,P7_C_EFFECT_RHO0,0.1,0.0,9bce230d8e36b2d543eebe185796946f92d7e1756519db5d7a79e6d2e2a52966,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,True
11,P7_D_EFFECT_RHO30,0.1,0.3,94e0ba0714c77e4d90fa60c67d352b6c455e4ec6148692fca9a7e844c739e53f,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,True
12,P7_A_NULL_RHO0,0.0,0.0,6261257ab2ce34b1c056eec1de44db6b2ae40cfd56d3da19b73e548cdabf7de6,True,True,0.0,0.0,0.0,0.0,1.0,1.0,True,True
12,P7_B_NULL_RHO30,0.0,0.3,6fd4937bd9d6cb43bffbe08d12da76e20c61cd17174296d2cb48e0225cc5d974,True,True,0.0,0.0,0.0,0.0,1.0,1.0,True,True
12,P7_C_EFFECT_RHO0,0.1,0.0,c3f0db9971fd3fcae9ebc96a2ab9dc485acefe3be45d99570fdd7271ac8d79d2,True,True,0.0,0.0001999999999999988,1.0,1.0,1.0,1.0,True,True
12,P7_D_EFFECT_RHO30,0.1,0.3,4ada95b996f55b8d2d8fe697840a6682ccaa864074f7029a06b132d91f10587c,True,True,0.0,9.99999999999994e-05,1.0,1.0,1.0,1.0,True,True
13,P7_A_NULL_RHO0,0.0,0.0,06f45610d4340f1994542c57aa01ea4c8ac51b007402ecf81a2caab46278a2c0,True,True,0.0005999999999999998,-0.00040000000000000105,0.0,0.0,1.0,1.0,True,True
13,P7_B_NULL_RHO30,0.0,0.3,e62487e851501121350f8dcee7dadd51fcaa5224497bf7923f40d67940312003,True,True,0.0005999999999999998,-0.00030000000000000165,0.0,0.0,1.0,1.0,True,True
13,P7_C_EFFECT_RHO0,0.1,0.0,00355b23a516834e6a2db0ab8e68e5292e598e86fe071414289c2c0f5b497808,True,True,0.0006999999999999923,-0.0008000000000000021,1.0,1.0,1.0,1.0,False,True
