rep,seed,cell,fit_spec,true_effect,true_rho,n_models,n_items,n_obs,dataset_sha256,min_model_n_self,max_model_n_self,overall_self_prop,rho_model,x_mean,x_sd,context_item_level_shared,phase6_high_assignment_geometry,converged,singular,warnings,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,error,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,theta,theta_lower,singular_component,fit_error,evaluable,rejected,covered,singular_bool
1,92622001,P7_A_NULL_RHO0,M1,0.0,0.0,100,400,40000,68b46f4d89e3d3d648e05cb1a39a70bae0f19b23a4494ce6725c8b92c8a34a65,200,200,0.5,0.0,1.1368683772161605e-15,0.8951770960648386,True,True,True,True,[],0.0488,0.0207,0.0181,0.0083,0.0893,True,0.0488,False,,0.0,0.0,,0.0643,0.0,"[0.0643, 0, 0, 0]","[0, 0, '-Inf', 0]",model_slope_sd_zero,,True,1.0,0.0,True
1,92622001,P7_A_NULL_RHO0,M2,0.0,0.0,100,400,40000,68b46f4d89e3d3d648e05cb1a39a70bae0f19b23a4494ce6725c8b92c8a34a65,200,200,0.5,0.0,1.1368683772161605e-15,0.8951770960648386,True,True,True,True,[],0.0488,0.0207,0.0181,0.0083,0.0893,True,0.0488,False,,3.4499e-08,0.0,,0.0643,1.1902e-15,"[0.0643, 3.4499e-08, 0]","[0, 0, 0]",model_slope_sd_zero,,True,1.0,0.0,True
1,92622001,P7_B_NULL_RHO30,M1,0.0,0.3,100,400,40000,3802ece49eec89815da7d229d21dda8176d481f39b2e09d129112c7812e6bdd9,200,200,0.5,0.3,1.1368683772161605e-15,0.8951770960648386,True,True,True,True,[],0.0464,0.021,0.0271,0.0052,0.0875,True,0.0464,False,,0.0119,0.0362,-1.0,0.0638,-2.7105e-20,"[0.0638, 0.0119, -0.0362, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,1.0,0.0,True
1,92622001,P7_B_NULL_RHO30,M2,0.0,0.3,100,400,40000,3802ece49eec89815da7d229d21dda8176d481f39b2e09d129112c7812e6bdd9,200,200,0.5,0.3,1.1368683772161605e-15,0.8951770960648386,True,True,True,True,[],0.0463,0.0207,0.0254,0.0057,0.0869,True,0.0463,False,,0.0,0.0149,,0.0639,0.0,"[0.0639, 0, 0.0149]","[0, 0, 0]",model_intercept_sd_zero,,True,1.0,0.0,True
1,92622001,P7_C_EFFECT_RHO0,M1,0.1,0.0,100,400,40000,0705be8ea2a355a5f32a02683d66cd4ddcd5c98af72d0ce63cb971bf9883532b,200,200,0.5,0.0,1.1368683772161605e-15,0.8951770960648386,True,True,True,True,[],0.1488,0.021,1.2605e-12,0.1077,0.1898,True,0.04879999999999998,False,,0.009,0.025,-1.0,0.0646,-1.3553e-20,"[0.0646, 0.009, -0.025, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,1.0,0.0,True
1,92622001,P7_C_EFFECT_RHO0,M2,0.1,0.0,100,400,40000,0705be8ea2a355a5f32a02683d66cd4ddcd5c98af72d0ce63cb971bf9883532b,200,200,0.5,0.0,1.1368683772161605e-15,0.8951770960648386,True,True,True,True,[],0.1487,0.0208,8.8211e-13,0.1079,0.1895,True,0.04869999999999999,False,,0.0,0.0,,0.0647,0.0,"[0.0647, 0, 0]","[0, 0, 0]",model_slope_sd_zero,,True,1.0,0.0,True
1,92622001,P7_D_EFFECT_RHO30,M1,0.1,0.3,100,400,40000,41920641dc7909609c6c28130a22a39ce17f8b82cf757a896b534a3dc3cbfa3e,200,200,0.5,0.3,1.1368683772161605e-15,0.8951770960648386,True,True,True,True,[],0.1479,0.0212,2.6846e-12,0.1065,0.1894,True,0.0479,False,,0.0123,0.0382,-1.0,0.0654,2.7105e-20,"[0.0654, 0.0123, -0.0382, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,1.0,0.0,True
1,92622001,P7_D_EFFECT_RHO30,M2,0.1,0.3,100,400,40000,41920641dc7909609c6c28130a22a39ce17f8b82cf757a896b534a3dc3cbfa3e,200,200,0.5,0.3,1.1368683772161605e-15,0.8951770960648386,True,True,True,True,[],0.1479,0.0209,1.4103e-12,0.107,0.1888,True,0.0479,False,,0.0,0.0173,,0.0654,0.0,"[0.0654, 0, 0.0173]","[0, 0, 0]",model_intercept_sd_zero,,True,1.0,0.0,True
2,92622002,P7_A_NULL_RHO0,M1,0.0,0.0,100,400,40000,9bf9c1dc1ed993e0f9bbc5134197eee983158451fb163ad0cee7355c711cbd5f,200,200,0.5,0.0,-6.750155989720952e-16,0.8668775506094138,True,True,True,True,[],0.0069,0.022,0.7537,-0.0362,0.05,False,0.0069,True,,0.0343,0.0761,-1.0,0.0937,0.0,"[0.0937, 0.0343, -0.0761, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.0,1.0,True
2,92622002,P7_A_NULL_RHO0,M2,0.0,0.0,100,400,40000,9bf9c1dc1ed993e0f9bbc5134197eee983158451fb163ad0cee7355c711cbd5f,200,200,0.5,0.0,-6.750155989720952e-16,0.8668775506094138,True,True,True,True,[],0.0069,0.0207,0.7395,-0.0336,0.0473,False,0.0069,True,,0.0,0.0,,0.0935,0.0,"[0.0935, 0, 0]","[0, 0, 0]",model_slope_sd_zero,,True,0.0,1.0,True
2,92622002,P7_B_NULL_RHO30,M1,0.0,0.3,100,400,40000,261009883797e05236d7b2a1be744054229e048f27925018f5c5498b7741f0f1,200,200,0.5,0.3,-6.750155989720952e-16,0.8668775506094138,True,True,True,True,[],0.0084,0.0221,0.7033,-0.0349,0.0518,False,0.0084,True,,0.0341,0.0791,-1.0,0.093,2.1684000000000002e-19,"[0.093, 0.0341, -0.0791, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.0,1.0,True
2,92622002,P7_B_NULL_RHO30,M2,0.0,0.3,100,400,40000,261009883797e05236d7b2a1be744054229e048f27925018f5c5498b7741f0f1,200,200,0.5,0.3,-6.750155989720952e-16,0.8668775506094138,True,True,True,True,[],0.0083,0.0207,0.6863,-0.0321,0.0488,False,0.0083,True,,0.0,0.0,,0.0927,0.0,"[0.0927, 0, 0]","[0, 0, 0]",model_slope_sd_zero,,True,0.0,1.0,True
