cell,fit_spec,stratum,primary_calibration_stratum,n_attempted,n_evaluable,fit_failure_rate,true_effect,true_rho,mean_estimate,mean_bias,relative_bias,empirical_sd,mean_model_se,median_model_se,empirical_sd_over_mean_se,rejection_count,rejection_rate,coverage_count,coverage_rate,convergence_rate,singular_rate,slope_zero_rate,model_intercept_zero_rate,item_intercept_zero_rate,corr_boundary_rate,type1_exact_ci_low,type1_exact_ci_high,type1_exact_p_value,type1_compatible,type1_mcse,coverage_exact_ci_low,coverage_exact_ci_high,coverage_exact_p_value,coverage_compatible,coverage_mcse
P7_A_NULL_RHO0,M1,all,True,500,500,0.0,0.0,0.0,0.0002652,0.0002652,,0.02155189637676624,0.021343,0.0212,1.0097875826625236,33,0.066,467,0.934,1.0,0.9,,,,,0.045863357110587734,0.09144289861086782,0.10066097995404855,True,0.011103512957618413,0.9085571013891323,0.9541366428894122,0.10066097995404936,True,0.01110351295761841
P7_A_NULL_RHO0,M1,singular,False,450,450,0.0,0.0,0.0,0.00023377777777777763,0.00023377777777777763,,0.021102672255960592,0.021285555555555554,0.0211,0.9914081030623028,28,0.06222222222222222,422,0.9377777777777778,1.0,1.0,,,,,0.04174077847371407,0.08867547561878011,0.23306503015147045,,0.011387187467007785,0.9113245243812198,0.958259221526286,0.23306503015147217,,0.01138718746700778
P7_A_NULL_RHO0,M1,nonsingular,False,50,50,0.0,0.0,0.0,0.0005480000000000005,0.0005480000000000005,,0.02548439490498979,0.021860000000000004,0.021650000000000003,1.1658003158732746,5,0.1,45,0.9,1.0,0.0,,,,,0.03327509358902152,0.2181353664342022,0.10361681014414346,,0.042426406871192854,0.7818646335657977,0.9667249064109785,0.10361681014414394,,0.04242640687119285
P7_A_NULL_RHO0,M2,all,True,500,500,0.0,0.0,0.0,0.00035119999999999997,0.00035119999999999997,,0.02155985420141733,0.020997,0.0207,1.0268064105070882,36,0.072,464,0.928,1.0,0.856,,,,,0.05093433312513296,0.09828743733685677,0.03045534681731964,False,0.011559930795640603,0.9017125626631434,0.949065666874867,0.030455346817319894,False,0.0115599307956406
P7_A_NULL_RHO0,M2,singular,False,428,428,0.0,0.0,0.0,0.00021915887850467288,0.00021915887850467288,,0.021344841414931214,0.02094158878504673,0.0207,1.0192560666730515,31,0.07242990654205607,397,0.927570093457944,1.0,1.0,,,,,0.04974017998985839,0.10123528023156858,0.044586119740380334,,0.012528827989690239,0.8987647197684314,0.9502598200101416,0.044586119740380625,,0.012528827989690237
P7_A_NULL_RHO0,M2,nonsingular,False,72,72,0.0,0.0,0.0,0.001136111111111111,0.001136111111111111,,0.02293740598049921,0.021326388888888888,0.021249999999999998,1.075541016343825,5,0.06944444444444445,67,0.9305555555555556,1.0,0.0,,,,,0.022931659153727597,0.15466731481612306,0.4107585038445622,,0.029958747929501817,0.8453326851838769,0.9770683408462724,0.41075850384456314,,0.029958747929501813
P7_B_NULL_RHO30,M1,all,True,500,500,0.0,0.0,0.3,0.00019139999999999994,0.00019139999999999994,,0.021530091400442836,0.0213974,0.0212,1.0062012861582639,32,0.064,468,0.936,1.0,0.87,,,,,0.044184210946265685,0.08915062755086336,0.15036604337979312,True,0.010945684080951725,0.9108493724491366,0.9558157890537343,0.1503660433797943,True,0.01094568408095172
P7_B_NULL_RHO30,M1,singular,False,435,435,0.0,0.0,0.3,0.00027287356321839074,0.00027287356321839074,,0.021181104085836434,0.021320459770114944,0.0211,0.9934637580154887,28,0.06436781609195402,407,0.9356321839080459,1.0,1.0,,,,,0.04319453162017996,0.09168827733506513,0.1849432056128003,,0.011766365501356355,0.908311722664935,0.9568054683798201,0.18494320561280267,,0.01176636550135636
P7_B_NULL_RHO30,M1,nonsingular,False,65,65,0.0,0.0,0.3,-0.00035384615384615375,-0.00035384615384615375,,0.023906478442850206,0.021912307692307693,0.0217,1.0910068797200474,4,0.06153846153846154,61,0.9384615384615385,1.0,0.0,,,,,0.017019971183020302,0.15013340067050893,0.5675888667084672,,0.02980745371158564,0.849866599329491,0.9829800288169797,0.5675888667084681,,0.02980745371158564
P7_B_NULL_RHO30,M2,all,True,500,500,0.0,0.0,0.3,0.00027719999999999985,0.00027719999999999985,,0.021533705698793336,0.0210294,0.0207,1.0239809837082055,37,0.074,463,0.926,1.0,0.838,,,,,0.05263510854915847,0.1005588747464701,0.017932654954382024,False,0.011706750189527408,0.89944112525353,0.9473648914508416,0.017932654954382135,False,0.011706750189527404
P7_B_NULL_RHO30,M2,singular,False,419,419,0.0,0.0,0.3,0.0003054892601431981,0.0003054892601431981,,0.02133490397659839,0.020970644391408114,0.0207,1.0173699757809787,31,0.07398568019093078,388,0.9260143198090692,1.0,1.0,,,,,0.05082048149287261,0.10337499329487558,0.032175233630467155,,0.012787206400777169,0.8966250067051242,0.9491795185071273,0.03217523363046743,,0.012787206400777169
P7_B_NULL_RHO30,M2,nonsingular,False,81,81,0.0,0.0,0.3,0.00013086419753086432,0.00013086419753086432,,0.02267157163704861,0.021333333333333333,0.0213,1.0627299204866536,6,0.07407407407407407,75,0.9259259259259259,1.0,0.0,,,,,0.02766836052451581,0.1542861687152946,0.3013694387858219,,0.029099044493273562,0.8457138312847055,0.9723316394754842,0.3013694387858226,,0.029099044493273562
P7_C_EFFECT_RHO0,M1,all,True,500,500,0.0,0.1,0.0,0.10040479999999999,0.00040479999999999417,0.004047999999999941,0.021764019897164418,0.0214882,0.0213,1.0128358772332917,498,0.996,471,0.942,1.0,0.892,,,,,,,,,,0.9177617791063264,0.9608161312028327,0.4105284941638866,True,0.010453324829928518
P7_C_EFFECT_RHO0,M1,singular,False,446,446,0.0,0.1,0.0,0.10033991031390135,0.0003399103139013398,0.0033991031390133977,0.02153210665658587,0.021432286995515696,0.0212,1.004657443281301,445,0.9977578475336323,419,0.9394618834080718,1.0,1.0,,,,,,,,,,0.9131396802608909,0.9597296486416224,0.3264349689442754,,0.011292409156365903
P7_C_EFFECT_RHO0,M1,nonsingular,False,54,54,0.0,0.1,0.0,0.10094074074074072,0.0009407407407407353,0.009407407407407352,0.023803103638752165,0.02195,0.0218,1.0844238559795973,53,0.9814814814814815,52,0.9629629629629629,1.0,0.0,,,,,,,,,,0.8725282277690526,0.9954827437055819,1.0,,0.025699580240322643
P7_C_EFFECT_RHO0,M2,all,True,500,500,0.0,0.1,0.0,0.1004854,0.0004853999999999942,0.004853999999999942,0.021768165584307088,0.021108799999999997,0.0209,1.0312365262026781,499,0.998,467,0.934,1.0,0.836,,,,,,,,,,0.9085571013891323,0.9541366428894122,0.10066097995404936,True,0.01110351295761841
P7_C_EFFECT_RHO0,M2,singular,False,418,418,0.0,0.1,0.0,0.09994162679425837,-5.837320574163252e-05,-0.0005837320574163252,0.021355914815034314,0.021056698564593298,0.0208,1.014210026777139,417,0.9976076555023924,393,0.9401913875598086,1.0,1.0,,,,,,,,,,0.9129740704949064,0.9609247550523058,0.3675676473297352,,0.011598500802123823
P7_C_EFFECT_RHO0,M2,nonsingular,False,82,82,0.0,0.1,0.0,0.1032573170731707,0.0032573170731707264,0.03257317073170726,0.023704898855512444,0.021374390243902436,0.021249999999999998,1.1090327529822677,82,1.0,74,0.9024390243902439,1.0,0.0,,,,,,,,,,0.8167860616005646,0.9569311565599025,0.06748301608180722,,0.032767256047401334
